"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom Altyapı Sorununu Çözmüyor","25 Temmuz 23:59","465","Türk Telekom ADSL altyapı sorununu çözmüyor. Millenicom abonesiyim 3 gündür internet yok dediler. Bugün Türk Telekom dan özel bir numaradan arayıp geleceklerini söylediler. Evde yoktum. Bina içi hattı 5 ay önce komple yenilettim siz dışarıdaki kutuya bakın dedim. Akşam eve geldiğimde aşağıda resimle","...","#İnternet"
"Türk Telekom Un Taahhüt Uyanıklığı","25 Temmuz 23:59","552","Türk Telekom'dan taahhüdümün 3 ay kaldığını ve bana özel indirimli tarifeler tanımlayabileceklerini söyleyerek yaklaşık 35 gün önce arandım ve sayılan tarifelerden birisini kabul ettim. 1 hafta sonra oldukça hesaplı bir kampanyayla karşılaştım, farklı bir operatörde fakat geçiş sağlayamadım çünkü Tü","...",""
"Türk Telekom İnternet Sosyal Medya Aylık Paket İptal","25 Temmuz 23:59","202","Değerli müşterimiz, aylık 10gb sosyal medya paketiniz 26/08/2024 saat 23:59 itibarıyla 120 TL karşılığında yenilecektir. İptal etmek için iptal sosyal medya aylık yazıp 5555'e gönderebilirsiniz. B001 böyle bir mesaj geldi. Paketimi iptal etmek istiyorum ama edemiyorum. İptal sosyal medya aylık.","","#Bana Özel Paketler"
"Türk Telekom Paramıza El Koydu. Ücret İadesi Yapmıyor.","25 Temmuz 23:51","333","Merhaba Adım Hilal Ketenci. Müşteri temsilcisine 5. Sırada dahi olsam 1 saat süren bekletmeden dolayı telefon kendisi kapanıyor. Hiçbir şekilde temsilciye ulaşamıyorum. Bütün dakikalarım bu yüzden bitti. Mart ayında İzmir Bayraklı Türk Telekom çalışanı ""b. Si. B. "" tarafından yapılan hatadan dolay","...","#Hat Devir"
"Türk Telekom 5 Gündür İnternet Kesintisi","25 Temmuz 23:45","492","Kahramanmaraş'ta Gedemen Mahallesi'nde tam tamına 4 gündür internetimiz yok. Yarın 5. gün olacak ve bize dedikleri her gün akşam saat 7'de internetin geleceğinden bahsediyorlar ama 5 gün oldu. Türk Telekom ev internetinden şikayetçiyim. Hemen internetimizin gelmesini istiyoruz.","","#İnternet"
"","25 Temmuz 23:38","254","","",""
"Türk Telekom Eskişehir İnternet Kesintisi","25 Temmuz 23:31","900","Türk Telekom Eskişehir Emek Mahallesi Çataltepeler Sokak No: 27'de gider borusundan fiber kabloyu geçirdikleri için daha önce 3 şikayet ettik. 10 Temmuz 2024 günü gider borusu tekrar tıkandı ve usta açmak için fiber kablosunu kesmiş. Türk Telekom ekipleri 2 gün sonra geldi. Bu kablonun tekrar çekilm","...","#İnternet"
"Türk Telekom İnternet Altyapısı Yok","25 Temmuz 23:24","374","@Turkcell @ TurkNet @ Türk Telekom @ Vodafone @Kablo Net İnternet Altyapısıyla ilgili şikayetim var. Bunun ile ilgili toplu olarak bir dilekçe yazmam gerektiği söyleniyor. Ama ben sürekli kapı kapı gezip milletin bekçiliğini yapamam. Hadımköy Hastane Mahallesi Ayasofya caddesinde bir altyapı çalışma","...","#İnternet"
"Türk Telekom Kopan Kabloyu Yapamıyor, Taahhüt Ettiği Hizmeti Yapmıyor.","25 Temmuz 23:24","507","9 Temmuzda sabit İnternetimin olmadığı yönünde Türk Telekom müşteri hizmetlerine bilgi verdim ve arıza kaydı oluşturdum, aynı gün kablonun koptuğunu gördüm, bugün 25 Temmuz ve hâlâ sorunum çözülmedi. 16 gündür İnterneti kullanamıyorum. Eskişehir gibi yerde bir de şehir merkezinde herhalde tek görevl","...","#İnternet"
"Türk Telekom Arama Yapılmıyor Hatası","25 Temmuz 23:18","412","Her şey dahil paketim olmasına rağmen arama yapamıyorum. ""Lira yükleyin"" diyor ve bu durumu birçok kez yaşadım. Bu durumda, verdiğimiz paranın karşılığını alamıyoruz ki Türk Telekom paketleri çok pahalı. Bu sorunu çözmek için canlı desteği aramaya çalışsam da 444 1 444 numarası beni canlı destek eki","...","#Faturasız Paketler"
"Türk Telekom Düşük İnternet Hızı","25 Temmuz 23:17","465","15.07.2024 tarihinden itibaren 32 Mbps'lik fatura ödediğim internetten sadece 3 Mbps hız alabiliyorum. Öncesinde internetimde hiçbir problem olmamasına rağmen 10 gündür aşırı düşük internet hızı alıyorum. Müşteri hizmetlerini arayıp arıza kaydı oluşturduğum zaman ekipler geliyor, '1 ay bekleyin, alt","...","#İnternet"
"Değişmeyen Lezzet Türk Telekom Altyapı Kesinti Sorunu","25 Temmuz 23:17","314","Üst üste internet kesintisi günlük, 3 günlük, 2 günlük veya saatlik. Bıktım gerçekten, hayattan soğuttular. Nefret ettim, gerçekten nefretim o kadar büyüdü ki artık birilerine salça oluyorum. Home Office olarak kullandığım bir ofisim var, içeride benimle 7 çalışanız ve bu tayfayı saatliği 20 liralık","...","#İnternet"
"TTNET İnternet Taahhütte Aldatmaca Yapıyor","25 Temmuz 23:02","405","TTNET Abone no 8847339589 biten taahhüdümü yenilemek için 25.07.2024 de saat 21.29 da müşteri temsilcisi le 38 dakika görüştüm. Ben 50 MB sinirsiz paket talep ettim. Online işlemlerden yapabileceğimi söyledi fakat orada 50 MB lik tarife olmadığını söylediğimde siz 75 MB lik sinirsiz tarifeye geçiş y","...","#İnternet"
"Türk Telekom İnternet Arızasını Tamir Etmiyor.","25 Temmuz 23:02","595","Adım murat I****, Ordu ili perşembe ilçesi kovanlı Mahallesi karalı sokak 28/2 adresinde Türk Telekom internet aboneliğim var. 2 gündür internet arızası mevcut ama Türk Telekom arıza ile ilgili hiçbir şey yapmıyor, sadece diğer gün öteleyip duruyor. Müşteri hizmetleri şikayet kaydı dahi oluşturmuyor","...","#İnternet"
"Türk Telekom Yanıltıcı Reklam Yapıyor.","25 Temmuz 23:02","557","Ek’te de belirtmiş. Olduğunuz gibi Yeni müşteriye özel fiyatlandırma 371 TL görünüyor ve alt kısımda belirtildiği gibi numara taşıma işlemi de bu kapsama giriyor. Lakin müşteri hizmetlerinizle yaptığım görüşmede müşteri temsilciniz bu fiyatlandırmanın sadece yeni hat alımlarında olduğunu ve numara t","...","#Numara Taşıma"
"Türk Telekom Müşteri Temsilcisinin İlgisizliği","25 Temmuz 23:01","244","Müşteri hizmetlerindeki bayanı aradım, suratıma telefonu kapattı. İnşallah bu konuyla ilgilenirsiniz. Abonelik yenileyeceğim, yeterince ilgisiz ve bu iş için yetersiz. Gereğinin yapılmasını, benim aradığım saat göze alınarak kim olduğunu sorgulayıp gereğinin yapılmasını temenni ederim.","","#Aile Paketi"
"Türk Telekom Satın Aldığım İnternet Kullanımını Kısıtlıyor","25 Temmuz 22:54","261","Türk Telekom satın aldığım ve süresi bitmek üzere olan paketimden internet kullanımımı kısıtlıyor. Yeni tanımlanan ileri tarihli paketimden düşüm sağlıyor. Boşuna mı param verip ilave paket aldım anlamıyorum. Bu yaptığınız resmen haksızlık. Müşteri hizmetlerinden çözüme ulaşamıyorum.","","#İnternet"
"Türk Telekom Yenilenen Tarife Pahalılığı","25 Temmuz 22:53","242","10 yıldır Türk Telekom müşterisiyim. Şu an 140 TL lik tarifesini kullanıyorum. Tarifem bu ay bitiyor ve yenilemek için bana 2-3 katı fiyat veriliyor. Yeni fiyatın çok fazla olduğunu düşünüyorum. Bu kadar yüksek bir ücreti ödeyemem. Bunca yıldır kullandığım operatörün de hiçbir kolaylık sağlamaması ç","...","#Bana Özel Paketler"
"Türk Telekom Pişmanlıktır. Yanından Dahi Geçilmez","25 Temmuz 22:19","124","8855824854 numaralı VDSL hattımda yaklaşık 1 aydır problem mevcut, genel altyapı arızası diyorlar ve 30 temmuza kadar çözümlenecek deniliyor,25 haziranda başladı sorun. Önceden 100 Mbit/s alıyordum sorundan dolayı 50mbit/s yeye düşürdük ama aldığım hız 8mbit/s","",""
"Türk Telekom Faturasında Beklenmedik Ücretlendirme","25 Temmuz 22:11","321","Türk Telekom kullanıcısıyım. Online işlemlere baktığımda faturamın yüksek olduğunu gördüm. Detayına baktığımda 3699'da 103.85 TL'lik ücret eklemesini fark ettim. İnternete baktığımda benim gibi birçok kişinin aynı şekilde mağdur olduğunu gördüm. Bu konu çözülmezse yasal haklarımı arayacağım.","",""
"Türk Telekom'dan Yanıltıcı İnternet Paketi!","25 Temmuz 22:11","269","Türk Telekom Kapıkule'den giren gurbetçileri yanıltıcı internet paketi ile mağdur etti. Kapıkule'den giriş yaptıktan sonra 35 GB internet (ve 10 GB hediye) olmak üzere toplam 45 GB internet, 750 dakika, 750 SMS ve sınırsız WhatsApp yazışması olan paketi 1050 TL karşılığında 3 tane sözleşme yaptık (3","...","#İnternet"
"Türk Telekom Numara Taşıma Fiyaskosu!","25 Temmuz 22:10","308","240758*** ön başvuru numarasıyla numaramı size taşımak için talep oluşturdum. Sim kart tarafıma 3 gün önce teslim edildi. Aktivasyon için mobil uygulamadan işlem yapmak gerekiyormuş. Uygulamanız işlem yapmama izin vermiyor. İlk denememde en son onaylamam gereken belgeleri açmadı, sonra da bu numara","...","#Hat Taşıma"
"Türk Telekom Habersiz 1 Gün Süreli İnternet Kesintisi!","25 Temmuz 22:00","367","Türk Telekom tarafından Habersiz 1 gün süreli internet kesintisi yaşanacakmış. Ne bir bilgilendirme yapıldı ne şikayette bulunabiliyoruz. Hiçbir çözüm yok evden çalışan biri olarak 1 gün süreli internet kesintisi boyunca ne yapabilirim nasıl bir çözüm öneriniz var? Müşteri temsilcisine bile bağlanam","...","#İnternet"
"Türk Telekom 08509010795 Numaradan Aranma","25 Temmuz 22:00","633","25.07.2024 tarihinde 08509010795 bu numaradan aranarak internet taahhüdünden indirimli faydalanmak için 1 tuşlamamı istediler ve tuşlayınca telefon kapandı, tekrar irtibat kuramadım. Tarafıma oluşacak herhangi bir olumlu ya da olumsuz bir hareketten mesul değilim. Yetkililerin ilgilenmesini temenni","...","#Aile Paketi"
"Türk Telekom Çekmeyen İnternet İşkencesi","25 Temmuz 22:00","159","Sinirimi tepeme getiren internetiniz. Beş yüz lira ödüyoruz sürekli bağ kopuyor bir yerde çekmiyor odada balkonda hiçbir şekilde. Köt yerlerinde cama yapışanlara döndük internet çeksin diye. Hangi çağdayız ya. Boş reklam yapmayın. Bina yeni altyapı en yüksek dediler ortada her şey...","","#İnternet"
"Forum AVM Türk Telekom Çalışanlarının Bilgisiz Umursamaz Tavırları","25 Temmuz 21:47","237","Ankara Forum AVM de bulunan Türk Telekom şubesine 25.07.2024 tarihinde saat 21.00-21.10 arasında Fenercell deki hattımı Türk Telekom'a taşımak için gittim fakat iki erkek çalışma arkadaşınızda Fenercell den direkt taşıma yapılmadığını önce Turkcell ya da Vodafone'a taşıyıp sonra Türk Telekom'a taşım","...","#Hat Başvurusu"
"Türk Telekom Tl Lerim Nerede","25 Temmuz 21:46","252","TL yüklememe rağmen paketim oluşturulmadı ve bana oluşturulmadığına dair bilgi mesajı gelmedi. Kullandığım internet ve arama yüksek tutardan tahsil edilip, yüklediğim 750 TL kısa bir sürede 0 TL'ye düşmüştür. Ne kadar internet kullandığım ve kaç dakika konuşma yaptığım ve bunların ne kadar ücretlend","...","#Faturasız Paketler"
"Türk Telekom TTNET- Evinize Kimin Girdiği Belli Değil!","25 Temmuz 21:46","322","1 buçuk yıldır başka bir firmadan internet sağlayıcı ile 50 Mbps internet alıyordum. Sürekli kopmalar yaşıyordum. En son 1 ay boyunca internet veremeyecekleri seviyede sürekli kopma yaşadım. Arıza kayıtlarına TTNET müdahale ettiği için diğer firma mail attıklarını iletseler de arıza kayıtlarına hiçb","...","#İnternet"
"Türk Telekom Kesintili İnternet Bağlantı Sorunu","25 Temmuz 21:46","265","Türk Telekom interneti 2 gündür kesik ya da kısıtlı erişim mevcuttur. Müşteri hizmetlerine bağlanmak büyükelçisinden randevu almaktan daha zor. Fahiş kestikleri faturayı gününde almasını biliyorlarsa tüketiciyi mağdur etmemelerini de bilmeleri gerek.","","#İnternet"
"","25 Temmuz 21:45","313","","",""
"Türk Telekom Ev İnterneti Sorunları","25 Temmuz 21:45","350","Türk Telekom internetini ortalama 5 yıldır kullanmaktayım. Senelerdir internet hızı konusunda çok büyük bir problem yaşıyorum. Defalarca şubelere gidip veya arayıp arıza kaydı oluşturmamıza rağmen hiçbir aksiyon alınmadı. Müşteri hizmetlerine bağlanıp arıza kaydı oluşturmaya çalıştığımda ise telesek","...","#İnternet"
"TTNET Hizmet Yetersizliği","25 Temmuz 21:44","414","3 gündür internetim sürekli kopuyor ve bağlanamıyordum modemim arızalı diye 1700 TL'lik cihazım yeni olmasına rağmen yeniden cihaz aldım diğerini de arızalı diye servise yolladım. Ama yeni cihazda arıza verince operatör kaynaklı olduğu belli oldu. Meğer bölgesel arıza varmış madem öyle bir durum var","...","#Altyapı Sorgulama"
"Türk Telekom İnternetimiz Hala Yok","25 Temmuz 21:27","298","Yaklaşık bir buçuk ay önce yeni bir binaya taşındık. İnternet altyapısı olmadığı için kendi internetimizi iptal edip altyapıyı Türk Telekom sağladığı ve oturduğumuz yerde Türk Telekom olduğu için başvurumuzu yaptık. Fakat hala internetimiz yok. Kendi telefon internetimizi kullandığımız için bitiyor","...","#İnternet"
"Türk Telekom Tarafından Ciddi Mağdur Edildim","25 Temmuz 21:13","158","Türk Telekom hattını 2 yıldır kullanıyorum. Bu ay fazla telefon görüşmelerim nedeniyle konuşma sürem bitti. 22 Temmuz 2023 tarihinde konuşma sürem bittiği için ek konuşma paketi defalarca (en az 20 kez) almaya çalıştım. Paket aliminiz yapılmıştır. Denmesine rağmen bir turlu hattıma yüklenmedi. Müşte","...",""
"Türk Telekom Yüksek Fatura Sorunu","25 Temmuz 21:12","412","Türk Telekom'un 15 yıllık müşterisiyiz. Oğlumun hattının faturası fatura bedelinin 3 katı geldi. Gelen fatura tutarı 863 TL. 4441444 numaralı müşteri hizmetlerini sürekli arıyorum ancak müşteri temsilcisine bağlanamıyoruz. Türk Telekom bayilerine gidiyoruz ' faturanın hatalı olduğunu söylüyorlar. So","...","#Fatura ödeme"
"Türk Telekom 1884 TL Para Boşa Gitti Faturalıya Geçtim Sonra Faturasıza Geçirdim","25 Temmuz 20:52","224","Selamın aleyküm. Ben Hakkı Çalışan. Benim kullandığım numarada 1884 TL vardı. Faturalıya geçmeden önce kaç kere Türk Telekom müşteri hizmetleri ile iletişime geçtim, geri döneceklerini söylediler. Dönmedi. Benim TL geri dönmedi, bilmiyorum. Lütfen böyle şey mi olur? 0501********81","","#TL Yükleme"
"Türk Telekom E Devlet Üzerindeki Borç","25 Temmuz 20:52","598","Türk Telekom! Çok boş ve iş bitiremeyen, içerisi sistem bilmeyen çağrı merkezi personelleri dediğimizi anlamayan, teknoloji bilgisi sıfır olan personellerle dolu. Kaç aydır sadece e-devlet üzerinden mevcut borcu silmek için uğraştığım bir firma. 2021-2022 yıllarında ödenmiş olan fatura, yaklaşık üç","...","#Fatura ödeme"
"Türk Telekom Altyapı Sorunu Yaşıyorum","25 Temmuz 20:41","220","Merhabalar, şikayetim 2024 yılında ve metropolde yaşadığımıza rağmen yeni taşındığım evde altyapı olmadığı söyleniyor. Başvuru yaptığım halde 18 ay beklemem gerektiği söyleniyor. Böyle saçma bir şey görmedim. Evden çalışan insanlarız, lütfen bir an önce ilgilenilsin.","","#Hat Taşıma"
"Türk Telekom İnternet Hiz Sorunu","25 Temmuz 20:34","344","8829706170 numaralı TTNET kullanıcısıyım 35 MBT hızında fiber paket kullanıyorum evde iki kisi video açamıyor. Bir problem mi var yoksa hızım 35 değil mi veya gizli bir kota mi var? Bağlantı da herhangi bir problem gözükmüyor ayrıca modem de çalışıyor.","","#İnternet"
"Türk Telekom Otomatik Ödeme Talimatı","25 Temmuz 20:34","314","5536****42 numaralı hat kullanıcısıyım. Hattıma otomatik ödeme talimatı veremiyorum. Bankamdan kaynaklı bir sıkıntı yok farklı faturalarıma talimat veriliyor. Müşteri hizmetleri dalga geçer gibi yarın deneyin. Sistemde hata var gibi bahaneler üretiyor. Bir haftadır sorunum çözülmedi. Evrak mobil adr","...",""
"Türk Telekom İkişer Fatura Ücreti Ödenmesi","25 Temmuz 20:34","409","Faturam son ödeme tarihinden bir gün önce ödenmiş olmasına rağmen hatta kayıtlı otomatik ödeme talimatı olan başka bir karttan ücret alındı. Müşteri hizmetleri çift yapılmış ödemeyle ilgilenmiyor. Aynı fatura döneminde iki kere ücret alınmış oldu. Aynı hattan. Geri dönüş gelecek aylardaki fatura ücr","...","#Fatura ödeme"
"Türk Telekom Pişmanlıktır, Farklı Operatör Tercih Et Daha Kötü Olamaz","25 Temmuz 20:26","382","50 Mbit sınırsız Türk Telekom abonesiyim; ancak 10 ie 20 Mbit hıza bile ulaşamıyorum.  ""hattınızda sorun yok modeminiz arızalı yeni modem almalısınız"" dediler, yine Türk Telekom'dan modem aldım ama hiçbir şey düzelmedi. Çağrı merkezinden arıza bildirim yaptığım 6 aydan fazla süre geçti ancak dalga g","...","#Modem"
"Türk Telekom Nakil İşlemi Olmadı","25 Temmuz 20:25","159","Türk Telekom 12 Temmuz'da telefon nakil talebinde bulunmamıza rağmen bize bununla ilgili dönüş yapılmadı. Arıyoruz, size dönüş yapılacaktır. Yoğunluk var deniliyor. Otomatik mesajı bağlamışlar. Oyalayıp duruyorlar. Beş kere Türk Telekom'u aradık. Danışmanlar 10 iş günü içerisinde dönüş yapılacaktır","...","#Ev Telefonu"
"Türk Telekom Yanlış Hat Taşıma İşlemi","25 Temmuz 20:25","410","23 Temmuz 2024 tarihinde İzmir ili Karşıyaka ilçesi Bahçelievler Türk Telekom Müdürlüğüne giderek 0541*****8301 numaralı hattımı Vodafone'dan Türk Telekom hattına geçiş yapmak istedim. Kendim jandarma astsubayım. Türk Telekom'da da jandarma tarifesine geçmek istediğimi belirterek başvurdum. O müdürl","...","#Hat Taşıma"
"Türk Telekom Ev İnternetinden Hizmet Alamıyorum Bir Haftadır","25 Temmuz 20:25","176","Bir haftadır Türk Telekom ev internetinden hizmet alamıyorum. Bundan 2 gün önce müşteri hizmetlerini aradım, dünden için halledeceklerini söylediler. Bu arada tam 48 saat geçti. Bugün yine gün içinde görüştüm, 48 saat içinde yapılacağını söylediler ama 48 saati geçti. Bir haftadır da mağduruz.","","#İnternet"
"Türk Telekom İnternet Sorununu 4 Gündür Çözmüyor","25 Temmuz 20:24","410","Eskişehir Odunpazarı Emek Mahallesi Telekom altyapısı ile evde fiber internet kullanıcısıyım. Sokağımızda yürütülen iş çalışmalarındaki kazı nedeniyle internette hasar meydana geldi. Kabloları yenilediler fakat internet kablosu eve bağlanmadı henüz. 4 gündür internet bağlantımız yok. Teknik ekipler","...","#İnternet"
"Türk Telekom Un İlgisizliği. Taahhüdü Yenilediğime Pişman Oldum.","25 Temmuz 20:18","410","Tivibu arızası yaşıyorum. 1 haftadan beri defalarca arıza kaydı bıraktım ama ne ilgilenen var ne çözüm bulan. Taahhüdü yenileyene kadar günlerce arandım, şimdi mağdur bırakıldım. İnternette yok. Telefonların paketlerini sömürdük. Sağ ol Türk Telekom...😤😤😤","","#İnternet"
"Türk Telekom Taahhüt Bitişi Ve İnternet Kullanamama Sorunu","25 Temmuz 20:18","721","Türk Telekom evde internet aboneliğim var ve yaklaşık 38 gün sonra taahhüdüm bitecek, arama yapıldı tabi bana sunulan paket aşırı pahalı ve ucuz adı altında ısrarla paket yenilenmeye çalışıldı. Bugün internetimi kullanmaya çalışıyorum fakat sürekli internet olmadan bağlı sürekli bir kopma zaten inte","...","#İnternet"
"Türk Telekom Fatura Ayrıntısı E-posta Adresime Gönderilmesi.","25 Temmuz 20:17","330","532 *****48 numaralı mobil hattımı 05 Haziran 2024 tarihinde Türk Telekom'dan başka bir GSM operatörüne taşıdım. Taşıdıktan sonra gelen faturayı da ödedim. Buna rağmen 23 Temmuz 2024 tarihinde yine 1.952 TL borcum olduğuna dair SMS gelmiştir. Bu hususta email adresime fatura gönderilmesi için defala","...","#Fatura ödeme"
"Türk Telekom 50mbs İnternet Hızı Yerine 6mbs Hizmeti","25 Temmuz 20:15","349","Normal şartlarda 50mbs fiber altyapısı ile aldığım internet hızı şu an ektedir. Yaklaşık 2 gündür müşteri temsilcisine bağlanmaya çalışıyorum ama bağlanma esnasına gelince İngilizce servis dışıdır gibi bir telesekreter mesajıyla telefon kapanıyor. Kasım ayında Türk Telekom'dan yeni modem satın aldım","...","#İnternet"
"Türk Telekom Yetersiz Altyapı Sorunu","25 Temmuz 20:15","328","Türk Telekom yetersiz altyapısı nedeniyle mahrumiyet yaşıyoruz. Eskişehir'in merkezinde yıl olmuş 2024 çarpık kentleşmeden daha beter çarpık altyapı var. Bulunduğum cadde üzerinde 100 den fazla apartman var ama caddenin orta bölümünde olmamıza rağmen bizim apartmanımızda altyapı yok. Fiber istemiyor","...","#İnternet"
"Türk Telekom Eski Müşterilerine Önem Vermiyor","25 Temmuz 19:46","440","Yaklaşık 5-6 yıldır Türk Telekom'da faturalı mobil hat sahibiyim. Önceki yıllar güzel indirimlerle tarife önerilirdi, son iki yıldır arkadaşımla aynı tarifeyi farklı fiyatlara aldık. Ben 30+10 GB'ye 240 TL öderken o 180 TL ödüyordu. Yeni geçenler için 345 TL'ye 30 GB + sınırsız sosyal medya verilirk","...",""
"Türk Telekom Yeni Taahhüt Zammı","25 Temmuz 19:45","223","163 TL olan faturamın taahhüdü bitmek üzere deyip aynı tarifenin yeni paketi indirimli olarak 451 TL diyen Türk Telekom. Bu nasıl bir artış, bu nasıl indirimli tarife? Şaka mı yapıyorsunuz? 163 TL olan faturanın yeni fiyatı indirimli nasıl 451 TL olur? Bir açıklama yapar mısınız?","","#Faturalı Paketler"
"Türk Telekom Altyapı Sorunu, Israrla Altyapı Yapmıyorlar.","25 Temmuz 19:38","318","Adana Yüreğir eski Misis'te altyapı 10 yıl önce vardı, kullanıyorduk. Hatlar eski olduğu için sökmüşler, 5 yıldır altyapı yok. Türk Telekom merkezinde altyapı başvurusunda bulunduk, bize dediler ki 10 hane imza toplamanız gerek. Topladık, mahalle muhtarına da söyledik. Buna rağmen hala altyapı çekmi","...","#Altyapı Sorgulama"
"Türk Telekom İnternet Altyapısı Gelmeme Sorunu","25 Temmuz 19:37","204","","","#İnternet"
"Türk Telekom Hat Geçişi Anne Kızlık Soyismine Takıldı.","25 Temmuz 19:37","181","25 Temmuz 2024 19.00 sularında Türk Telekom ile yaptığım hat taşıma görüşmesinde ısrarla anne kızlık soy ismi soruldu. Vermek istediğimi başka bir güvenlik sorusu sorulmasını istediğimde red edildim. Hat geçişi yapılamadı. Allah aşkına başka bir güvenlik sorusu geliştiremiyor musunuz, inanılmaz.","","#Hat Taşıma"
"Türk Telekom Selfy Sınırsız Sosyal Medya Paketi Mağduriyeti","25 Temmuz 19:37","617","Türk Telekom Selfy paketine hattımı taşıdım. Sitede hattı taşıyınca Selfy sınırsız sosyal medya paketinin 102 TL'ye satın alınabildiği yazıyordu fakat sınırsız paket 215 TL'den verildi. Müşteri hizmetlerine hiçbir şekilde ulaşamıyorum. Paketi de alamıyorum. Mağduriyetimin giderilmesini talep ediyoru","...","#Sosyal Medya Paketi"
"Türk Telekom İnternet Sorunu: 3 Gündür Çözüm Yok!","25 Temmuz 19:31","200","Türk Telekom internetim 3 gündür çekmiyor ve yapılan hiçbir şey yok. Bütün aramalar cevapsız. Ekipler inceliyor diye yalan konuşuyorlar. Ekiplerin incelediği hiçbir şey yok. Aradığımda modem açık kalsın diyorlar. Gerçekten ödedim faturayı boşuna, sıkıldım.","","#Modem"
"","25 Temmuz 19:30","138","","",""
"","25 Temmuz 19:29","74","","",""
"Türk Telekom Arıza Var Ve Kimse Gelip Tamir Etmiyor Kimse İlgilenmiyor","25 Temmuz 19:22","338","Çok ilgisiz olmuş Türk Telekom İstanbul Zeytinburnu Beştelsiz Mahallesi. Geçen haftadan cumartesi gününden beri tüm mahallede internet kesik, arıza var ama kimse gelip tamir etmiyor. Arıyoruz, kimse bizimle muhatap olmuyor. Ne yapalım biz şimdi? Fatura tam geliyor. Hatta daha fazla yazıyorsunuz. Bu","...","#İnternet"
"TTNET İnternet Mağduriyeti","25 Temmuz 19:21","206","TTNET internet 1.5 aydır internetimdeki problemimi halledemediler. Faturamı ödetmeye devam ediyorlar. Arıyorum, müşteri hizmetlerine bile bağlamıyorlar. Çözüm süreci devam ediyor deniyor. Sürekli bu nasıl bir sorun? 1.5 ayda komple mahalleye hat çekilir. Olmuyorsa olmuyor desinler, ben de başka çözü","...","#İnternet"
"Türk Telekom İnternet Başvurusu, Hizmet Kalitesi","25 Temmuz 19:13","551","24.07.2034 tarihinde Türk Telekom Online işlemler üzerinden ""Online'a Özel Efsane Fiber Kampanyası 100 Mbps"" internet kampanyasına başvurdum. 6186849891 numaralı başvuru numarası ile talebim işleme alındı. Ardından SMS ile 25.07.2034 tarihinde saat 13.30 -18.00 saatleri arasında kurulum için teknik","...","#İnternet"
"Türk Telekom 2024 Yılında Şebeke Çekmiyor!","25 Temmuz 19:06","300","2024 yılında teknoloji çağı zirve yaşarken, yapay zeka ile kimse elini işe sürmeden hallederken biz vatandaşlar olarak İstanbul Esenyurt çınar Mah. 1469. Sk no:** adresinde (sokakta genel bir problem var hiçbir şekilde telefon çekmiyor) şebeke problemi yaşıyoruz. Hiçbir yetkili konu ile ilgili çözüm","...","#Fatura ödeme"
"Türk Telekom Acilen Bağlanmasını İstiyorum.","25 Temmuz 19:05","262","Bulunduğum adresi internetimin taşınmasını istiyorum bir an önce mağdurum giderilmesini istiyorum lütfen. İşlerimi halledemiyorum lütfen yetkililere sesleniyorum gelip bağlasınlar bir an önce. Altyapı yetersiz diyorlar ben bu kiralık dairede oturuyorum altı.","","#İnternet"
"Türk Telekom Telekom Kablosu Arıza","25 Temmuz 18:58","124","Balkonumun önündeki Telekom kablosu gitgide kopuyor, telinden ayrılıyor. Otoparktaki araçlarımızın üstüne düşecek. Yetkililere bildirdiğim halde gelip bakan olmadı. Tekrar aradığımda adres istiyorlar. Defalarca verdiğimiz halde gelen yine olmadı. Sıcaktan her geçen gün daha çok telinden ayrılıp sark","...",""
"Türk Telekom İnternet Kesintisi Ve Çözüm Süreci Sorunu","25 Temmuz 18:57","458","24.07.2024 tarihinde akşama doğru internet kesintimiz oldu. Kablo kopukluğu dediler. Gece 1'de internetin verileceğini söylediler ama gelen giden olmadı. 25.07.2024 tarihinde Türk Telekom müşteri hizmetlerini aradığımda, saat 4 civarı sorunun çözüldüğünü ve evinizdeki teknik bir sorundan kaynaklı ol","...","#İnternet"
"Türk Telekom Hatlı Numaradan Taahhüt İle İlgili Sorun","25 Temmuz 18:49","58","Taahhüdümün bitmesine daha zaman olmasına rağmen 0555 ile başlayan bir numara sürekli arayarak bana 'taahhüdünüz bitmiştir' gibi laflar söylüyor. Ayrıca, sesimi duyar duymaz yüzüme kapatıyor. Taahhüdümün bitmesine 9 ay var ve bu numara ile ilgili gereğinin yapılmasını arz ederim.","",""
"Türk Telekom'dan Şikayetçiyim Böyle Terbiyesizlik Görmedim","25 Temmuz 18:49","129","Türk Telekom'dan şikayetçiyim. Tam bir haftadır her gün saat 13.00 ila 18:00 arası teknik servis gelecek dedikleri halde perşembe günü olduğu halde ne","...",""
"Türk Telekom Mobil İnternetim Çekmiyor","25 Temmuz 18:48","138","Yaklaşık 5 gündür Türk Telekom mobil internetimi kullanamıyorum. Aylık binlerce lira veriyoruz ama bana verilen yetersiz baz istasyonundan dolayı internetiniz çekmiyor. Bu yıl ve önümüzdeki yıl da baz istasyonu iyileştirilmesi yapılmayacak. Bu nedir ya? Kaçıncı yüzyıldayız? Ben mi dikeyim baz istas","...","#İnternet"
