"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Superonline Ev İnterneti İlgisizliği!","https://www.sikayetvar.com/superonline/superonline-ev-interneti-ilgisizligi-1","Gökay","19 Nisan 00:31","92","Superonline Wi-Fi kıllanıyorum. Habersiz şekilde arıza tespit çalışması yapıyorlarmış. Ve hiçbir şekilde bilgilendirme yapılmadı. Arayarak saatler sonra ancak ulaşabildim. 24 saat dolmadan halledileceği söylendi ve şu an 30. Saatteyiz hala 5 saat sonra halledilecek diye söyleniliyor. Hiçbir şekilde","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Yüksek Zam Oranı","https://www.sikayetvar.com/superonline/superonline-yuksek-zam-orani-1","Ali","19 Nisan 00:30","224","5670**13 numaralı Turkcell Superonline müşterisiyim. Mevcut paketim için 160 TL ödeme yapmaktayım. Mevcut taahhüdüm 5 gün sonra bitiyor ve yenilemek istediğimde aynı paket için 360 TL fiyat talep ediyorsunuz. TÜİK'e göre enflasyon %64 olarak açıklanmışken, siz %100'ün üzerinde zam yapıyorsunuz. Yakl","...","","",""
"Superonline Fiber İnternet Arızasını Gidermiyor!","https://www.sikayetvar.com/superonline/superonline-fiber-internet-arizasini-gidermiyor","Hülya","19 Nisan 00:10","151","Turkcell fiber internetim arızaya geçti ne yapsam tamire kimse gelmiyor. Müşteri hizmetleri aynı yalanı söyleyip duruyor. Bayilerinin tel. Kapalı cevap vermiyor. Üniversite hazırlanan oğlum derslerine giremiyor. Destek denilen şey yok. İşe gidemiyorum evde hapis kaldım. Ya acil destek verin ya da ka","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Tamamıyla Problem İnternet","https://www.sikayetvar.com/superonline/superonline-tamamiyla-problem-internet","Serkan","18 Nisan 23:07","245","Superonline pişmanlıktır. Arıza talebi oluşturduğum tarih itibariyle 2 gün içinde iletişime geçileceği söylemesine rağmen 2 hafta oldu hala ses yok. 35 Mbps hızdan en fazla 7 Mbps alıyorum. İnternet sağlayamamakla birlikte cayma bedeli istenmesi ayrı bir ayıp. Umarım ilgililere ulaşır.","","","",""
"Superonline Müşteri Temsilcisinin Müşteriye Yalan Söyleme Durumu","https://www.sikayetvar.com/superonline/superonline-musteri-temsilcisinin-musteriye-yalan-soyleme-durumu","Ahmet","18 Nisan 23:01","333","Bugün, yani 18.04.2024 tarihinde saat 16:18'de 0312 979 80 12 numaralı hattan arandım. Bana taahhüt sürem bitmek üzere olduğunu belirterek Superonline müşteri temsilcisi sıfatıyla arayan bayan, mevcut kullandığım paketin çok daha düşük özellikteki paketlerini yüksek fiyatla kampanyalıymış gibi sunar","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Turkcell Superonline İnternet Kesiliyor","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-kesiliyor-1","Salih","18 Nisan 23:00","238","Turkcell Superonline abonesiyim bir süre önce modemimiz yandı modemi gelip değiştirdiler fakat daha sonra kullanılmış modemi taktıklarını fark ettim. Eski modemi kullanırken internetle ilgili hiçbir problem yaşamıyorduk modemi değiştirdiklerinden beri internet bağlantısı kesiliyor açıp kapatmadan dü","...","","",""
"Turkcell Superbox Şebeke Sorunu","https://www.sikayetvar.com/superonline/turkcell-superbox-sebeke-sorunu-8","Emre","18 Nisan 22:04","329","Turkcell Superbox hizmetiyle ilgili bir şikayette bulunmak istiyorum. Defalarca müşteri temsilcileriyle görüşmeme rağmen 'baz istasyonu sorunu deprem bölgesinde böyle olur' şeklinde yanıtlar alıyorum. Beni bu şekilde geçiştiriyorlar ve internet hızım 0.39 Mbps'de kalıyor. Superbox numaram: 5358**230","...","","",""
"Turkcell Superonline Ev İnternet Kopması","https://www.sikayetvar.com/superonline/turkcell-superonline-ev-internet-kopmasi","Yağmur","18 Nisan 21:41","395","Turkcell Superonline 50mb ev internetimiz son bir haftadır sürekli kopma yaşıyoruz. Müşteri hizmetlerini aradığımızda arıza kaydı açıp altyapı sahibi Türk Telekom ekiplerini yönlendiriyorlar fakat hala sonuç aynı hala internet çok kötü. Uzaktan çalışma sistemiyle çalışan biri olarak işimde ve çevrim","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline'nin Çaresizliği Hız Problemi","https://www.sikayetvar.com/superonline/superonlinenin-caresizligi-hiz-problemi","Melek","18 Nisan 21:26","402","Superonline internetim de 1.5 aydır hiz problemim var. Sorunum hız dalgalanması 24mbs olan internetim 12ile40 MBS arası değişiyor ve modem kitleniyor. Problemi kabul edip altyapı Türk Telekom kaynaklı olduğunu söyleniyor ve çözümü Superonline yapacağı söyleniyor lakin 1.5 aydır her 2 güne aramama ra","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Superonline Şikayetçiyim","https://www.sikayetvar.com/superonline/superonline-sikayetciyim-26","Mehmet","18 Nisan 21:17","79","Turkcell Superonline abonesiyim internetim 04.04.2024 tarihinde kendiliğinden gitti. Defalarca müşteri hizmetlerini aramama rağmen teknik servis gelmedi. Bu zaman zarfında hem internet kullanamadım hem de telefonlarımıza artı internet almak durumunda kaldık biz internet abonesi olduğumuz zamandan bu","...","","",""
"Superonline Teknik Servisi Yetersiz!","https://www.sikayetvar.com/superonline/superonline-teknik-servisi-yetersiz-2","Murat","18 Nisan 21:17","93","Superonline ev interneti bağlattım. Eve gelen ekip bağlantıyı anten kutusundan çekmek istedi. Anten kutusunun içerisine bir cihaz koydular ve bağlantı kablosunu takarken anten kablolarını yerinden çıkardılar. TV de sinyal gitti. Gelen ekibe hatalarını söylememe rağmen kabul etmediler. Birbirine bağl","...","","","https://files.sikayetvar.com/complaint/2851/28512946/superonline-teknik-servisi-yetersiz-2_350x350.jpg"
"Superonline İnternet İle Telefon Bağlantısı Verilememesi!","https://www.sikayetvar.com/superonline/superonline-internet-ile-telefon-baglantisi-verilememesi","Onur","18 Nisan 20:55","388","Superonline internet ve telefon aboneliği için başvuru yaptım. İnternetim bağlandıktan sonra telefon başvurusu yapılabileceği bilgisi verildi. Buna is","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline İnternet Arızasının Nerede Olduğunu Bulamıyor","https://www.sikayetvar.com/superonline/superonline-internet-arizasinin-nerede-oldugunu-bulamiyor","Erdal","18 Nisan 20:47","240","Evimde kullandığım Superonline internet servisi, 18/04/2024 tarihinde bir arıza nedeniyle kesildi. Canlı destek hattını aradığımda, 10 saatlik bir çalışma yapılacağı bilgisini aldım. Akşam eve geldiğimde internet bağlantımın hala kesik olduğunu fark ettim ve tekrar canlı destek hattını arayarak yard","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline İnternet Hız Sorunu","https://www.sikayetvar.com/superonline/superonline-internet-hiz-sorunu-197","Ünal","18 Nisan 20:31","247","1 yıldır Turkcell Superonline ev interneti kullanıyorum. Satın alırken 50 Mbps hızında internet satın aldım, ancak son 3 aydır sadece 15 Mbps hız veriyor. Müşteri hizmetlerini aradığımda bu durumun normal olduğunu söylüyorlar. Servis göndermelerini istediğimde internetimde sorun olmadığını ifade edi","...","","","https://files.sikayetvar.com/complaint/2851/28512405/superonline-internet-hiz-sorunu-2_350x350.jpg"
"Turkcell Superonline Yapmış Oldukları Taahhüdümün Gereğini Yapmadı","https://www.sikayetvar.com/superonline/turkcell-superonline-yapmis-olduklari-taahhudumun-geregini-yapmadi","Mehmet","18 Nisan 20:15","167","Turkcell Superonline tarafından yapılan taahhüdün gereği yerine getirilmiyor ve daha farklı fiyatlar uygulanıyor. Taahhüt belgesi olmasına rağmen kabul etmiyorlar. Kendi taahhüt belgesini inkar ediyorlar. Çağrı merkezi temsilcisi D**** Hanım, gerekli araştırmaları yapmadan şikayet konusu çözülmeden","...","","","https://files.sikayetvar.com/complaint/2851/28512224/turkcell-superonline-yapmis-olduklari-taahhudumun-geregini-yapmadi-1_350x350.jpg"
"Superonline Nakil İşlemi Yapamıyor","https://www.sikayetvar.com/superonline/superonline-nakil-islemi-yapamiyor-11","Doğan","18 Nisan 19:12","430","1 haftadır internet taşıma işlemini yapamıyorsunuz. Sistem hata veriyor ama geri dönen, bilgilendiren yok. İptal edeceğim ama cayma bedelinden de vazgeçemiyorsunuz. TV Plus + fiber üyeliğim var, TV bile izleyemiyorum. Yazıklar olsun. Çözüm için bir kişi uğraşmıyor.","","","",""
"Turkcell Superonline Abonelik Ve Fesih Sorunları","https://www.sikayetvar.com/superonline/turkcell-superonline-abonelik-ve-fesih-sorunlari","Kürşat","18 Nisan 18:56","673","Turkcell Superonline şirketinde bulunan iki aboneliğimden birini adres değişikliği nedeniyle iptal etmek durumunda kaldım. İptalin ardından tarafıma gönderilen kurye kodu ile cihazları iade etmem gerektiği belirtildi. Bu kodları kullanarak Yurtiçi Kargo aracılığıyla cihazları iade ettim. Daha sonra","...","#Nakil","https://www.sikayetvar.com/superonline/nakil","https://files.sikayetvar.com/complaint/2851/28511412/turkcell-superonline-abonelik-ve-fesih-sorunlari-3_350x350.jpg"
"Superonline Kurulum Mağduriyeti Ve","https://www.sikayetvar.com/superonline/superonline-kurulum-magduriyeti-ve","Yavuz","18 Nisan 18:55","141","Superonline ile ilgili yaşadığım olumsuz deneyimi paylaşmak istiyorum. Superonline ev internet hizmetine geçmek için 10 gün önce başvuru yaptım. Başvurunun üzerinden 48 saat geçmesi beklenirken, tam 10 gün geçmesine rağmen hala kurulum yapılmadı. Müşteri hizmetlerini arayarak yaşadığım mağduriyeti d","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"","","Betül","18 Nisan 18:33","142","","","","",""
"Turkcell İnternet İçin İlgisiz Olan Müşteri Hizmetleri Ve Kurumunuz","https://www.sikayetvar.com/superonline/turkcell-internet-icin-ilgisiz-olan-musteri-hizmetleri-ve-kurumunuz","Sezai","18 Nisan 18:18","241","Hizmet olarak 10 üzerinden 1 veriyorum çünkü kesinlikle geri dönüş yapılmıyor. Ayın 8'inde eve internet bağlatmak için başvurdum. Anlaştık, 1 veya 2 g","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline Superbox Yeşil Işık Yanması","https://www.sikayetvar.com/superonline/superonline-superbox-yesil-isik-yanmasi","Ali","18 Nisan 18:01","958","Superbox ile problem yaşıyorum. Yeşil ışık yanıyor, kapatıp açıyorum, sonra hala yeşil ışık yanıyor. Her 15 dakika bir interneti kapatıp acıyorum hala yeşil yanıyor ve internete giremiyorum bağlanamıyorum bu sorunun hemen çözülmesini istiyorum teşekkürler","","","",""
"Superonline İnternet Altyapısı Eksikliği","https://www.sikayetvar.com/superonline/superonline-internet-altyapisi-eksikligi-1","Ömer","18 Nisan 18:00","123","Şehrin göbeğinde yaşıyorum benim internet hızım 16 hiçbir şey yapamıyorum bu internet hızı ile karşı binadaki internet hızı 100 böyle hır saçmalık görmedim. Ulaştığımız zamanda Superonline herhangi bir şey yapmıyorlar. Bu durumun en kısa sürede düzeltilmesini rica ediyorum sizlerden","","","",""
"Superonline Superbox Hatalı Bilgilendirme.","https://www.sikayetvar.com/superonline/superonline-superbox-hatali-bilgilendirme-1","Akın","18 Nisan 17:19","195","Superbox, müşteri temsilcileri. Bir haftadır 164364676 ikinci talebimle ilgili geri dönüş yapılmadı. Talebim çok basit. Bu kadar zor olmamalı. 48 saat prensibinizi çok aşmış durumdasınız. Ayrıca ilk talebim ile ilgili yapmış olduğunuz hatalı SMS bilgilendirmesi nedeniyle ikinci talebi açtım. Tutarlı","...","","",""
"Turkcell Superbox Mavi Işık Sorunu","https://www.sikayetvar.com/superonline/turkcell-superbox-mavi-isik-sorunu-3","Dilayla","18 Nisan 17:12","2.159","Turkcell Superbox kutusunda mod ışığı mavi renk yanıyor, internete günlerdir giremiyorum. Kırmızı ışık yanmadığı sürece sorun yok denildi, ama interne","...","","",""
"Superonline Zamlı Ödemelerin İadesi","https://www.sikayetvar.com/superonline/superonline-zamli-odemelerin-iadesi","İsmail","18 Nisan 17:10","64","1 yıllık taahhüt bitmeden Ağustos 2023'den beri, 6 aylık parçalı fatura diye habire 1-2 ayda bir zamlı fatura ödedim. Sözleşme talep ediyorum, yoktur, sözlü olarak taahhüt var diyorlar. Resmi yazılı sözleşme sitelerinde de yayınlamadılar. Fazladan zamlı ödemeleri geri talep ediyorum. Abone no 101240","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Turkcell Fiber Bağlantıda Sürekli Kopma Problemi","https://www.sikayetvar.com/superonline/turkcell-fiber-baglantida-surekli-kopma-problemi","Sedat","18 Nisan 16:52","319","Yaklaşık üç aydır Turkcell Superonline fiber internet bağlantısında kopma sorunu yaşıyorum. Yaklaşık bir ay önce defalarca aradım ve her seferinde sorunun giderildiğini söylediler. Ancak hiçbir düzelme olmadı. En sonunda teknik servisi evime getirebildim. Teknik servis, internetin çok yüksek hızda g","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"","","Vedia","18 Nisan 16:23","96","","","","",""
"Turkcell Superbox Modem Arızasını Gideremiyor","https://www.sikayetvar.com/superonline/turkcell-superbox-modem-arizasini-gideremiyor","Emre","18 Nisan 16:23","592","Evimde Turkcell Superbox kullanmaktayım. İlk aldığım zamanlarda hızından gayet memnundum 150mbit altına düşmedi hiç, birkaç gün önce internetin yavaşladığını fark ettim. Müşteri hizmetlerini aradım ve bana bir ekip yönlendireceklerini ve cihazı değiştireceklerini söylediler. Ekip cihazı değiştirdi a","...","","","https://files.sikayetvar.com/complaint/2850/28509647/turkcell-superbox-modem-arizasini-gideremiyor-2_350x350.jpg"
"Turkcell Superonline Numarasından Uygunsuz Aramalar","https://www.sikayetvar.com/superonline/turkcell-superonline-numarasindan-uygunsuz-aramalar","Fatma","18 Nisan 16:13","129","+905***320409 bu numara tarafından aranıyorum. Numarayı eklediğim zaman Turkcell Superonline'a ait olduğu anlaşılıyor. Turkcell gibi bir markaya yakışmayan bir durum bu. Çalışanlarınızı daha özenle seçmenizi rica ediyorum. Turkcell tarafından rahatsız ediliyorum.","","","","https://files.sikayetvar.com/complaint/2850/28509479/turkcell-superonline-numarasindan-uygunsuz-aramalar-1_350x350.jpg"
"Superonline Nakil İşlemi İçin Günlerdir Oyalıyor","https://www.sikayetvar.com/superonline/superonline-nakil-islemi-icin-gunlerdir-oyaliyor","Cenk","18 Nisan 15:46","419","Superonline kullanıcısıyım. Nakil işlemi başlatmıştım. Ayın 8 inde beni aradılar şehir dışında olduğumdan dolayı bayramdan sonra ki cumartesi yani 13.04.2024 de gelmelerini istedim. Biz bu talebi iptal ediyoruz yeni talep açmanız gerekiyor dediler. Müşteri temsilcisini arayıp talebimi tekrar söyledi","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Superonline İnternet Kesinti Problemi","https://www.sikayetvar.com/superonline/superonline-internet-kesinti-problemi-18","Ajans","18 Nisan 15:34","263","Superonline fiber'den aldığım internet hizmeti neredeyse her ay 1 gün kesiliyor ve burası bir internet ajansı 7 kişilik ekibimiz boş duruyor. Her ay sürekli internet kesilir mi bu nasıl bir sorumsuzluk nasıl bir hizmet kalitesidir? Biz internet olmadan iş yapamıyoruz. Bunun bedelini kim ödeyecek? Şi","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline İnternet Sorunu","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-sorunu-219","Eren","18 Nisan 15:25","162","10903810 numaralı Turkcell Superonline abonesiyim. 14.04.2024 günü internet bağlantım kesildi. Arıza talebini açtım ve 15.04.2024 günü işlem için gelen yetkili bina server odasına baktı sorunu halledemedi ve ekip yönlendireceğini söyledi. Ne gelen var ne giden bugüne kadar. Müşteri temsilcilerini de","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline'ın İade Edilen Modem Üzerinden Haksız Kazanç Sağlaması","https://www.sikayetvar.com/superonline/superonlinein-iade-edilen-modem-uzerinden-haksiz-kazanc-saglamasi","Muhammet","18 Nisan 15:16","967","Birkaç hafta önce taahhüdüm sona erdi ve Superonline'dan modem ve TV+ cihazlarımı teslim etmem için bir mesaj aldım. Belirtilen kargo şirketi aracılığıyla modem, TV+ ünitesi, adaptör ve kabloları göndermem gerektiği bildirildi. Ben de tüm ürünleri eksiksiz olarak tek bir paket halinde kargoya verdim","...","#Modem","https://www.sikayetvar.com/superonline/modem","https://files.sikayetvar.com/complaint/2850/28508671/superonlinein-iade-edilen-modem-uzerinden-haksiz-kazanc-saglamasi-1_350x350.jpg"
"Turkcell Superonline İnterneti Bağlamıyor","https://www.sikayetvar.com/superonline/turkcell-superonline-interneti-baglamiyor-2","Özgür","18 Nisan 14:46","356","Turkcell mobil uygulamasından evde internet başvurusunda bulundum. Bulunduğum şehir Erzurum olmasına rağmen interneti gelip bağlayacak ekip Sivas Superonline bayisiymiş. 10 gündür bekliyorum. Turkcell'i aradığımda bana Sivas'taki bayinin numarasını veriyor. Bayi ısrarla cevap vermiyor. Kesinlikle mo","...","","",""
"Superonline 15 Gündür İnternet Nakil İşkencesi Ve Mağduriyet","https://www.sikayetvar.com/superonline/superonline-15-gundur-internet-nakil-iskencesi-ve-magduriyet","Sümeyye","18 Nisan 13:09","351","Taşınalı tam tamına 15 gün oluyor ve hala gelip internetimizi nakil yapacaklar. Her aradığımızda erteliyor ve altyapı ekipleri bizi oyalıyor. Koca şir","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Superonline Fiber Pişmanlıktır... İlgisiz Bir Ekip","https://www.sikayetvar.com/superonline/superonline-fiber-pismanliktir-ilgisiz-bir-ekip","Nalan","18 Nisan 12:16","245","Superonline Fiber tam bir pişmanlık... Çekmediği yetmezmiş gibi şu an 4 gündür internetsiziz. Genel bir arıza var ve ne gelen var ne giden sorun gidermek için... Su arıza nedeniyle kopan kabloları bir gelip onaramadılar. Müşteri hizmetleri tamam diyor ama yok gelen. Sanki dag başındayız...","","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Yalan Söyleyerek Ürün Satıyor","https://www.sikayetvar.com/superonline/superonline-yalan-soyleyerek-urun-satiyor","Barış","18 Nisan 12:15","361","Superonline'dan aldığım 67838424 abone numaralı ve 110217444815 hizmet numaralı internet hizmetimi 16 Nisan Salı günü aktif hale getirdim. Hem 15 Nisan Pazartesi günü abonelik işlemlerim yapılırken hem de kurulum gerçekleştirilirken, memnun kalmazsam 15 iş günü içinde cayma bedeli ödemeden iptal ede","...","","",""
"","","Şükrü","18 Nisan 12:05","131","","","","",""
"Superonline, Olmayan Port İçin Satış Yapıyor","https://www.sikayetvar.com/superonline/superonline-olmayan-port-icin-satis-yapiyor","Bunyamin","18 Nisan 11:58","766","Merhaba, 14 Nisan 2024 Pazar günü ev interneti talebiyle Superonline müşteri hizmetlerini aradım. Müşteri temsilcisi B*** Hanım önce adres kontrolü sağladı ve önerileriyle bir ay ücretsiz, on bir ay boyunca aylık 430 TL ödemeli fiber 100 Mbit olan tarifeyi onayladım. Pazartesi günü kurulum için ek","...","","",""
"Turkcell Superonline Abonelik İptali","https://www.sikayetvar.com/superonline/turkcell-superonline-abonelik-iptali-35","Enes","18 Nisan 11:48","517","Turkcell Superonline abonesi idim. Mart ayında aboneliğimin iptalini sağladım ve modemi iade ettim. Bulunduğum bölge deprem bölgesi olduğu için altyapı mevcut değil. Bu nedenle cayma bedeli yansıtılmaması gerekiyor. Müşteri temsilcileri tarafından bana evrak göndermem gerektiği konusunda hiçbir bilg","...","","",""
"Superonline Altyapısı Hazır Olan Yere Aboneliğimi Taşıyamıyorum","https://www.sikayetvar.com/superonline/superonline-altyapisi-hazir-olan-yere-aboneligimi-tasiyamiyorum","Ahmet","18 Nisan 11:10","367","İzmir Çiğli Gültekin Pera 2 ( Balatçık mah. 8960/3 sokak Apt no:2) sitesinde oturmaktayım. Superonline altyapısı bir üst sokakta olmasına rağmen altyapı yok denilerek hali hazırda var olan aboneliğimi taşıyamıyorum. Fiber optik kablolar apartman içerisine kadar döşenmiş durumdadır. Altyapı oluşturul","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Nakil İşleminin Sisteme Yanlış Yansıması","https://www.sikayetvar.com/superonline/superonline-nakil-isleminin-sisteme-yanlis-yansimasi","Yılmaz","18 Nisan 10:36","303","Ev taşınmam sebebiyle, nakil yaptığım evin internetini, ekipler randevu saatlerinde gelerek mevcut kullandığım cihaz üzerinden nakil işlemini gerçekleştirdi. Herhangi bir cihaz değişimi, iptal gibi durumlar olmamasına rağmen, sistem sanki iptal edilmiş gibi cihaz iadesi için geriye doğru gün sayıyor","...","#Nakil","https://www.sikayetvar.com/superonline/nakil","https://files.sikayetvar.com/complaint/2850/28505238/superonline-nakil-isleminin-sisteme-yanlis-yansimasi-2_350x350.jpg"
"Superonline Arızam Asla Giderilmiyor","https://www.sikayetvar.com/superonline/superonline-arizam-asla-giderilmiyor","Ferhat","18 Nisan 10:36","527","Ev internetimde çok sık bir şekilde bağlantı kopma sorunu yaşamaktayım. Defalarca kez arıza kaydı oluşturulmuş olmasına rağmen aynı sorun aylardır ve neredeyse her gün tekrarlamaktadır. Gelen teknik ekipler önce modem kaynaklı olduğunu belirtmiş ve modem değiştirilmiştir, akabinde aynı arıza sürdüğü","...","","",""
"Turkcell Superonline Altyapı Sorunu","https://www.sikayetvar.com/superonline/turkcell-superonline-altyapi-sorunu-24","Mehmet","18 Nisan 09:27","557","Turkcell Superonline ev internetini 9 gündür kullanamıyorum. Her aradığımda akşama gelir. Sabaha gelir 2 gün sürecek deniliyor. Neymiş Türk Telekom alt yapısında sıkıntı varmış ama Türk Telekom'un kendi interneti çalışıyor. En son bugün aradığımda da ayın 24'ne kadar sürecek denildi. Fesih hakkım va","...","#Cayma Bedeli","https://www.sikayetvar.com/superonline/cayma-bedeli",""
"Superonline Her Ay Kesilen Düzenli İnternet Kesintisi","https://www.sikayetvar.com/superonline/superonline-her-ay-kesilen-duzenli-internet-kesintisi","Sibel","18 Nisan 09:10","380","Superonline üyesi olduğum için her gün pişmanım. Türk Telekom'da böyle sorunlar yaşamıyordum. Her ay en az iki gün internet kesintisi yaşıyorum ve sanki uzaydaymışım gibi akşam gidiyor ve ertesi gün akşama kadar internetim yok. Yani bir iki aydır bu sorun devam ediyor. Lütfen bir çözüm üretin. Siz t","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Superonline İnternet Hız Problemi","https://www.sikayetvar.com/superonline/superonline-internet-hiz-problemi-293","Taner","18 Nisan 06:11","300","Turkcell Superbox kullanıcısıydım. Yaşamış olduğum bağlantı hızı sorunları nedeniyle Turkcell Superonline fiber'e geçtim. Geçtiğimden beri hızım sürekli 9 MB civarında devam ediyor. Bana bağlantıyı 200 MB olarak sattılar daha sonrasında da binanın altyapısının 100 MB olduğunu öğrendim. Bir haftadır","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Taahhütsüz İnternet İptali","https://www.sikayetvar.com/superonline/superonline-taahhutsuz-internet-iptali","Aysenur","18 Nisan 06:11","515","Yerel Superonline şubesi aracılığıyla deneme amaçlı, taahhütsüz fiber internet hizmeti aldım. Gerekli olmadığını düşündüğüm için 110215468357 numaralı fiber internet hizmetim için e-Devlet kapısı üzerinden fesih başvurusunda bulundum. Bana iptal işlemi sırasında herhangi bir ücret yansıtılmayacağı b","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Yan Binada Fiber Var Bizde Yok","https://www.sikayetvar.com/superonline/superonline-yan-binada-fiber-var-bizde-yok-1","Numan","18 Nisan 02:02","412","Satış temsilcisinin bıraktığı kağıttan ötürü aradım ve fiber altyapım olduğunu söylediler. 1000mbps internet için başvurumu yaptım fakat kuruluma gelindiğinde yanımdaki binalarda fiber var olduğunu fakat benim ikamet ettiğim yerde olmadığını söylediler. Müşteri potansiyeli olan bir apartman. Yanımız","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Kiralık Modem Değişim Talebine Ücret İstiyor.","https://www.sikayetvar.com/superonline/superonline-kiralik-modem-degisim-talebine-ucret-istiyor","Cengizhan","18 Nisan 02:01","1.059","Bir buçuk ay önce tanınmış bir firmadan Turkcell Superonline'a geçiş yaptım. 100 Mbps hızında ve fiber altyapıya sahip olduğum için memnundum. Kurulum sırasında herhangi bir sorun yaşamadım; ancak bağlantı kurduğum günden itibaren hem kablolu hem de kablosuz bağlantılarda problemlerle karşılaşıyorum","...","","",""
"Turkcell Superonline İnternet Sorunları Ve Servis Ücreti","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-sorunlari-ve-servis-ucreti","Volkan","18 Nisan 00:41","262","Koca Turkcell Superonline, 300 TL'nin peşine düşmüş. İnterneti başlattığımın dördüncü gününden itibaren sıkıntı yaşıyorum. Bir türlü çözemediler; o kadar servis geldi gitti. Müşteri hizmetleri, 'Evet, tam anlamıyla kullanamıyorsunuz, sinyal sıkıntısı var.' demesine rağmen, ücretli servis gönderelim","...","","",""
"Superonline İnternet Erişimi Yok","https://www.sikayetvar.com/superonline/superonline-internet-erisimi-yok-61","Aybige","18 Nisan 00:11","931","Superonline 5622**97 müşteri numaram, 164403783 arıza kaydı takip numarası 20 gündür evimde internetim yok. Defalarca arıza kaydı açtırdım gelen giden arayan hiç kimse yok. Yetkili kişiler ile görüştüğümde sistemlerine düşen arıza kaydı olmadığını, Türk Telekom altyapısının kullanıldığı söyleniyor.","...","#Başvuru","https://www.sikayetvar.com/superonline/basvuru",""
"Superonline Call Of Duty Oyununda Hueneme Negev Hatası Alıyorum","https://www.sikayetvar.com/superonline/superonline-call-of-duty-oyununda-hueneme-negev-hatasi-aliyorum","Tolga","18 Nisan 00:10","359","Superonline Call of Duty oyununda 'Hueneme Negev' hatası alıyorum. Yeni Superonline abonesiyim ve hiç memnun değilim çünkü oyuna giremiyorum. Daha önce Türk Telekom kullanırken böyle bir sorunla karşılaşmadım, ama nereden bunlara üye oldum başıma bela aldım. Çözüm yok, gelip bakan yok, müşteri hizme","...","","",""
"Superonline Altyapı Sorunu Çözülmüyor","https://www.sikayetvar.com/superonline/superonline-altyapi-sorunu-cozulmuyor-2","Yasemin","18 Nisan 00:10","223","Superonline müşterisiyim 2 yıl kesintisiz hizmet aldık ancak aboneliğimi yenilediğimden beri sık sık altyapı sorunu nedeniyle internetim 2-3 gün kesiliyor. Ben evden çalışan biriyim benim zararımı nasıl karşılayacaksınız? Bu konuda ne yapmayı düşünüyorsunuz? Yer İzmir Balçova","","","",""
"Turkcell Fiber İnternet","https://www.sikayetvar.com/superonline/turkcell-fiber-internet-11","Ekin","17 Nisan 23:30","339","Önceki internetin yavaşlığı sebebiyle Turkcell'den modem değişikliği yaptık. Yeni internet, yeni modem aldık ve internet bağlandığı günden beri çalışmıyor (4 Nisan). Çok kez müşteri temsilcileriyle iletişime geçtik. Bir çalışan dışında hepsi sürece bakıyorum, inceliyorum diyerek önceden açılmış 5-6","...","","","https://files.sikayetvar.com/complaint/2850/28502955/turkcell-fiber-internet-2_350x350.jpg"
"Superonline 50 Mbps Vaadine Ulaşamayan İnternet Hizmeti","https://www.sikayetvar.com/superonline/superonline-50-mbps-vaadine-ulasamayan-internet-hizmeti","Tolga","17 Nisan 23:24","452","1,5 aylık Turkcell Superonline evde internet kullanıcısıyım. Hiçbir şekilde taahhüt edilen 50 megabit hızını alamıyorum. Bina girişindeki portun değişmesi gerekiyormuş; ancak kimse ilgilenmiyor. Kaç defa arıza kaydı oluşturduk ama hep bir geçiştirmeler yapılıyor. Aboneliğimi iptal etmek istediğimde","...","","",""
