"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Ülker Jelibonda Yabancı Madde Var.","24 Nisan 2023 17:43","349","24 Nisan 2023 tarihli bir online sipariş uygulaması üzerinden sipariş ettiğim Ülker Yupo Süper Jeli Orman Meyveli Aromalı jelibondan anlayamadığım bir yabancı madde ve beyaz bir tüy çıktı. Ek olarak üç renk gösterilen jelibona istinaden bir tanesi harici hepsi tek renk çıktı.",""
"Ülker Müşteri Kaydımın Açılmaması","24 Nisan 2023 13:47","228","Gümüşhane Kelkit Pazaryeri şarküteriyim kayıt açmıyordu kayıtsız çalışıyorduk Tokgöz bayisi ile kayıt açamayız dediklerinden dolayı iadem olunca iademi almayıp çalışmayacağını söyleyip gitti e*** adında çalışan arkadaş sorunumun çözülmesini istemekteyim.",""
"Ülker Ürün Üzeri Beyaz Noktalar","24 Nisan 2023 11:10","312","",""
"Ülker Markalı Çikolata Yenemeyecek Durumda!","23 Nisan 2023 20:56","935","Ülker buklet çikolatanın içindeki tüm çikolatalar birbirine girmiş asla yenecek durumda değil ve bu erimeyle oluşan bir durum değil bazı kısımların temiz olmasından belli tamamen üretim hatası olan bir ürün. Siz bunu nasıl satışa sunabiliyorsunuz? Artık Ülker markasına da güvenemeyecek miyiz? Umarım","..."
"Ülker Yanlış Üretim Sutlu Çikolatanın Tuhaf Olması","23 Nisan 2023 20:12","405","Sevdiğim bir marka ama aldığım bu ürün beni kaç defadır yanıltıyor. Size Instagram'dan yazdık ama siz tamam deyip geçtiniz. Sonra tekrar aldım ve yine yazdım. Sorunu halledeceğiz diyorsunuz ama yok. Belki aldığımız yer sorunlu diye başka yerlerden de aldım ama her seferinde aynı şey.",""
"Ülker Bayramlık Çikolata Kurtlu Çıktı","23 Nisan 2023 19:11","337","Ülker'den bayramlık çikolata aldık. Tüm paket kurtlu çıktı. İyi bir marka olduğunu biliyorduk, nasıl böyle bir şey oldu anlamadık. Çocuklar çikolatadan tiksindi, misafirlere karşı mahcup olduk. Her sene Ülker'den bu çikolatayı alıyorduk, nasıl böyle bir şey oldu? Ülker bizi çok mağdur etti.",""
"Ülker Yupo Dan Çıkan Yabancı Madde","23 Nisan 2023 18:28","391","Manisa 5m Migros'tan 23.04.2023 tarihinde aldığımız Ülker yupo kola adli yumuşak şekerlemenin içinden örümceğe benzeyen bir yabancı madde çıktı yabancı madde şekerlemenin içinde ama gözle görülür bir şekilde çocuğumuz için aldığımız bu ürünü yine çocuğumuzun dikkati ile fark ettik",""
"Ülker Bayram Çikolatasının Kurtlu Çıkması","23 Nisan 2023 02:55","314","Bayram için aldığım çikolatada kurt çıkmasının sebebi ne olabilir. İstenirse videosunu gönderebilirim buna sebep satıcı firmanın mı depolama sorunu mu yoksa üreticinin mi olduğunu açıkçası çok merak ediyorum. Destek olursanız çok memun olurum. Teşekkür ederim.",""
"Ülker Ürün Görseli İçeriği İle Aynı Değil","22 Nisan 2023 22:25","1.287","Merhaba, iyi bayramlar. İzmir Bornova Ergene Mahallesi şok marketten bayram öncesi Ülker senfoni fındıklı kremalı bayram çikolatası aldım. Fakat içinden fındık çıkmadığı gibi ambalaj üstünde yazılan biraz yanıltmalı bir açıklama olmuş. Üstünde fındık resmi var, içinde fındık kırıntısı yok. Pirinç pa","..."
"Ülker Ece Çikolatanın İçinde Ne Olduğu Belli Olmayan Bir Şey Var","22 Nisan 2023 16:52","264","1 hafta önce Ülker Ece bayram çikolatası aldım. Fakat yerken içinde ne olduğu belli olmayan bazı şeyler var görsel olarak göndereceğim böceklenmiş mi başka bir şey mi gerçekten anlayamadım. Bu çikolatayı çok sevdiğim için hep aynı marka alırım ama bu beni üzdü gerçekten.",""
"Ülker Bayram Çikolatası Kutu İçeriği Yarım Çıktı.","22 Nisan 2023 06:34","234","Ülker in Beylerbeyi çikolata çeşidinden bayram için aldık. Paketi acarken içeriğin eksik, gözeneklerin boş olduğunu fark ettik. Ülker'in böyle bir şeye tenezzül edeceğini sanmam fakat işçilik hatasıda olsa mağduriyet. 2 gözenek boş. Bir çok gözenekleri 1 er ad. Diğer gözenekler 2 ser ad. Biz çikolat","..."
"Ülker Ece Çikolatadan Kıl Çıktı","22 Nisan 2023 01:13","605","Ülker Ece çikolata 350 gr bayram çikolatası ürününden ablam yerken içerisinden kıl çıktığını fark etti. Sürekli Ülker ürünleri alıp tüketmemize rağmen böyle bir durumla şu an karşılaşmamıza çok şaşırdık. İlk defa böyle bir durumla karşılaşıyoruz. Lütfen gereği yapılsın.",""
"Ülker Çikolatalı Bisküvi Aldım Üstü Çikolata Kaplamasız Geldi","21 Nisan 2023 18:41","148","Ülker Saklı Köy Çikolatalı Bisküvi aldım ama içinden birisinde üzeri çikolatasız çıktı. Ülker gibi bir firmanın böyle bir hatası olmaması gerekir. Müşteri hizmetlerine ulaşamadım. Bayram dolayısıyla sanırım buraya yazdım. İlgilenirlerse sevinirim. Ayrıca burada 250 karakter istemesi de saçma.",""
"Bayramda Aldım Ülker Çikolata Konçerto","21 Nisan 2023 17:36","1.370","Ülker bayram çikolatası açtığım pakette yarım çıktı ısırılmış bir şekilde normalde Ülker ürününü beğenen biriyim Ülker'den bunu hiç beklemezdim. Çok tanıdık ve bilindik bir marka şaşırdım doğrusu tabii böyle çıktı diye Ülker'den daha bir şey alır mıyım bilemiyorum",""
"Ülker Çikolatada Küf Benzeri Beyazlık Var","21 Nisan 2023 08:19","714","Bugün sabah bayram sabahı diye bakkaldan 1 tane Ülker Napoliten çikolata aldım fakat çikolata demeye bin şahit ürün rengi öyle bir şey olmuş ki normal","..."
"Ülker Probis İçinden Yanık Çıkması","21 Nisan 2023 00:30","382","",""
"Ülker Üründe Tat Değişmesi","20 Nisan 2023 10:01","336","Son zamanlarda yediğim Ülker ürünlerinde 1 sene öncesinin ne tadı var ne tuzu özellikle Çokoprens'e değineceğim. Bisküvisi çok değişmiş eski tadından eser yok, sanki bisküvi hamuru çok kabartılmış bir hamur gibi. Eski formülüne dönmez ise tekrar almayacağım ürünlerinizi.",""
"Ülker Poşetten Ürün Eksik Çıktı","20 Nisan 2023 00:47","484","Ülker 8 kek çikolatalı aldım. Poşeti açtığımda ürün ısırılmış şekilde yarısı eksik çıktı. Ürünü yemedim paketi geri kapattım. Hayatımda ilk defa böyle bir saçmalıkla karşılaşıyorum. Ürün ve jelatini poşete koydum numune alınması için saklıyorum. Konu ile ilgili açıklama bekliyorum. Gramajı da üstünd","..."
"Ülker Dido Koku Sorunu","19 Nisan 2023 21:16","387","Ülker Dido latte li olan çikolatadan sürekli alıyordum ama son zamanlarda hem bayat hem de kötü koku geliyor. Severek yiyordum ama artık alasım gelmiyor önceden taze olurdu şimdi gofreti sanki değişik geliyor. Koku olayı çözülürse ben yeniden Dido dan devam",""
"Ülker Ambalajı Kapalı Ama İçinde Açılmış Bisküvi Var","19 Nisan 2023 21:00","580","Ülker Biskrem'i çok severek yerim. Sürekli evimin altında ki Carrefour SA marketten alırım bu almam da bir gariplik ile karşılaştım sanki benden önce paketi açıp yeniden ambalajlamışlar gibi. Görsellerinizde eke ekledim. Şaşırdım böyle bir üretim hatasıyla karşılaştığıma",""
"Ülker Tek Pakette Çift Ürün","19 Nisan 2023 11:53","167","Tek pakette 2 kek çıktı talebimin karşılanmasını istiyorum. Müşteriden tek ücret mi yoksa 2 ücret mi talep edeceğim ben kekleri döşerken fark ettim. Siz bunları paketlerken kontrol etmiyor musunuz? Yıllardır güven veren bir firmanın bu sorumsuzluğu hiç hoş değildi.",""
"Ülker Balon Katmanlı Gofret","18 Nisan 2023 21:09","391","Ben çocuğuma düzenli olarak Ülker çikolatalı gofret alırım bugün yine aldım paketi açıp oğluma verdim. Birden anne diye koşarak yanıma geldi ve bunun tadı çok kötü diyerek bana uzattı. Paketi anlam veremedim. Bende ısırdım ve tadı gerçekten çok kötüydü son tüketim tarihine daha var sonrasında pakett","..."
"Ülker Şekerin İçinden Çıkan Eksik Ürünler","18 Nisan 2023 16:27","334","İçinde ahududu&böğürtlenli şeker olduğunu düşündüğüm şeker paketinden sadece 1 tane bundan çıkması nasıl açıklanabilir? Ülker e güvenip aldığım paket nasıl böyle çıkabilir. Verdiğim para boşa gitti. Bunu nasıl açıklayacaksınız. Çözüm önerisi sunulmaz ise bir daha Ülker'i tercih etmeyi düşünmüyorum.",""
"Ülker Mini Metro Bozuk Çıktı","18 Nisan 2023 12:56","708","17/04/2023 tarihinde marketten aldığım Ülker mini metro paketini açtığımda çikolataların içinin boşalmış ve beyaz beyaz parçacıklar olduğunu fark ettim. Bu durum Ülker gibi bir markadan olması bizi çok üzdü. İnşallah sorunumuz en kısa zamanda çözülür.",""
"Ülker Probis Kurtlu Çıktı","18 Nisan 2023 11:52","388","Kurtlu Probis! Yeni açtığım paketin içerisinden kurt çıktı. Uzun süre yaşamış, diski bırakmış probisin üstüne... Ülker bu tarz bir hataya nasıl düştü bilmiyorum. Daha önce böyle bir sorunla hiç karşılaşmamıştım. Nasıl telafi edilecek insanların sagligi söz konusu...",""
"Ülker Çokokrem 350gr Kavanoz Çikolatanın İçinden Kırık Cam Çıktı","18 Nisan 2023 04:49","809","Ülker Çokokrem 350gr lik kavanoz ürününüzden kaşıkla yerken dibinden cam kırığı çıktı. Çikolatanın içinde olduğu için fark etmediğim için tam yerken sertlikten fark ettim. Eğer fark edilmeyecek kadar küçük olsaydı yutabilirdim. Ya da hemen fark etmeseydim ağzımın içini kesebilirdi. Benim iki tane ço","..."
"Ülker Biskrem'den Yalnızca 6 Adet Çıktı","18 Nisan 2023 01:02","480","Ülker Biskrem'i çok severek yerim. İkide bir gün bir paket kesinlikle yerim. Migros'tan aldım, ilk defa karşılaştım. Ürünün içinden sadece 6 tane çıktı, şok oldum. Bence Ülker gibi büyük bir firmaya yakışmadı. Ama sizi bırakmak mümkün değil. Daha yeni bayram şekeri aldım, 800 TL. Ülker sadece Biskre","..."
"Ülker Senfoni Çikolata Eksik Paket","17 Nisan 2023 22:39","1.179","Şok market Karşıyaka Dedebaşı mahallesinden 15 Nisan 2023 tarihinde almış olduğum Ülker senfoni çikolatadan boş ambalaj ayrı paketlenmemiş çikolata ayrı çıktı diğer çikolataların çoğunun paketi sağlam yapılmamış ve üzerinde fındıklı yazıyor içinde fındık yok",""
"Ülker Ürünleri Eski Tat Yok","17 Nisan 2023 20:56","2.412","Ülker ürünleri eski kalitesinde değil. Fiyata zam yapıp resmen malzemeden ç almışlar. Tat denen bir şey yok. Probis 10 lu bisküvi aldım bisküvi mi yiyorsun odun mu kemiriyorsun belli değil. Çikolatalı gofretin çikolatasını sil zaten Halley desen yakında mini minicik kalacak. Ürünlerde çikolata yok ö","..."
"Ülker Ürünün İçinden Sivri Cisim Çıktı","17 Nisan 2023 18:59","809","Yeni çıkan Ülker Dark Çoko pens ürününü ailecek denemek için aldık. Ürünün yarısında krema yok ayrıca bisküvisi de çok sert. Asıl şikayetim 8 yaşındaki oğlum ürünü yerken boğazında bir batma hissetti o acıyla ağzındaki sert bisküvi bölümünü de çiğneyemedi ve bisküvi boğazını tıkadı, boğulma tehlikes","..."
"Ülker Ece Trio Çikolatanın İçinden Kıl Çıktı!","17 Nisan 2023 12:42","1.035","Ülker Ece trio çikolatanın içinden kıl çıktı! Yıllardır tükettiğimiz marka bu hiç hoş olmadı. 16 Nisan 2023 tarihinde Ankara Sincan merkez Gimsa marketten aldığımız paketli Ece Trio çikolatanın içinden paketi komple kaseye boşalttığımız zaman kıl çıktı. Bu bir gıda ürünü böyle bir şeyin olması üstel","..."
"Ülker Yanık Tadı Geliyor.","17 Nisan 2023 03:53","200","Ülker bol sütlü çikolata kırmızı ambalajlı olan iki tane almıştım küçük kuzenimi sevindirmek için. İkisinde de yanık tadı vardı. Bu durum, küçük çocuğun hevesini kursağında bıraktı. Çikolataların tarihleri henüz geçmemişti ve yeni çikolatalardı. Geri dönüş bekliyorum.",""
"Ülker Probis Bisküvi Aşırı Yanık","16 Nisan 2023 13:28","592","Ülker Probis bisküvi çok yanık bir şekilde çıktı. Yerken ağzımıza acı yanık tadı geldiği için memnun kalmadım. Yıllardır severek tükettiğimiz bisküvi için hayal kırıklığı yaşadım. Bunu cokoprens bisküvide de yaşadım, bir seferliktir diye üzerinde durmadım. Probis için de tekrar aynı sorunu yaşayınca","..."
"Ülker Pes Yani Kime Güveneceğiz Bilemiyorum","16 Nisan 2023 08:33","343","Artık kime güveneceğimizi bilmiyorum. Ben Ülker taze kaşar peynirini sadece üzerinde 11 kg sütten 1 kg kaşar peyniri yapıldığını okuduktan sonra sürekli tüketiyordum. Piyasadaki çoğu kaşar peynirinden de güzel. Dün 2 adet aldım evde geldim üzerindeki yazı farklılaşmış. 10 kg sütten 1 kg diyor. Şimdi","..."
"Ülker Ürün Bozuk Çıktı","16 Nisan 2023 02:08","386","Bugün Ülker bütün Antep fıstıklı çikolata aldım. Bir hevesle yemek için açtığımda büyük hayal kırıklığına uğradım. Tarihi geçmemiş olmasına rağmen tadı bozuktu. Ülkerden böyle bir şey beklemezdim. Müşteri olarak üzgünlüğümü belirtip sorunumu dile getirmek isterim.",""
"Ülker Çokomel Ürünün Eksik Olması","15 Nisan 2023 15:34","648","Ailece her zaman satın aldığımız, kalitesine inandığımız ve güvendiğimiz Ülker markası büyük bir hayal kırıklığı yaşattı. Satın aldığımız Çokomel sade 3'lü 36GR ürününün içinde bir adet Çokomel eksik çıktı. Aslında küçük bir sıkıntı olarak görünse de Ülker gibi bir markanın böyle bir sıkıntı çıkarma","..."
"Ülker Gofretin İçinden Kıl Çıktı","15 Nisan 2023 14:36","443","Bu sabah Kayseri'de bir A101'de Ülker'e ait ürünler aldım. Çikolata, gofret gibi yediğim bir şeyden kıl çıktı. Buna dikkat edilmesini istiyorum. Ülker'in sürekli bozuk ürünlerine denk gelmiştim ama şikayet etme taraftarı değildim. Ama bugünkü aldıklarımdan sonra buraya yazdım.",""
"Ülker Gıda İçinde Çıkan Kimyasal","15 Nisan 2023 12:26","420","Dankek kekinin içinde bir tür hap çıktı. Ben bunları çocuklarıma yediriyorum. Bu kadar basit mi? İnsan hayatı elimde, ne geliyorsa yapacağım. Yazıklar olsun, bu kadar kolay mı? Bir dönüş sağlayın. Bir zahmet, ama sonu ne olursa olsun şikayet edeceğim. Ama böyle olmaz ya.",""
"Ülker Ürün Kapak Açılışı Yaralanma Riski!","15 Nisan 2023 03:20","2.481","",""
"","15 Nisan 2023 01:40","510","",""
"Ülker Buklet Çikolata Bozuk.","14 Nisan 2023 18:10","953","Bugün Ülker buklet çikolata aldık. Tadına baktığımda büyük bir hayal kırıklığı yaşadım çünkü tadı bozulmuştu. Ülker'den böyle bir şey beklemezdim. Son tüketim tarihi henüz geçmemiş fakat tadı bozulmuş. Müşteri olarak çok üzüldüm ve sorunumu dile getirmek istedim.",""
"Ülker Boş Paket Çıkması","14 Nisan 2023 17:41","321","Halley mini de büyük paketinde boş paket çıktı 22.03.2024 kodlu tarih olan ürünler...",""
"Ülker Küflenmiş Ve Piş Koku","14 Nisan 2023 16:48","547","Ülker metro aldım açtığımda küflenmiş bir haldeydi. Bir de kokuyordu. Tarihine baktım, tarihte 30/11/2023 yazıyordu. Tarihte bir sorun yokmuş, sorun sizin ürettiklerinizle. Ben Ülker firmasından sonuna kadar şikayetçiyim. Sizden umarım geri dönüş yaparsınız.",""
"Ülker Napoliten Çikolata Bozuk Çıktı","14 Nisan 2023 15:43","509","",""
"Ülker Mcvities Marka Bisküvi Den Kil Çıktı","14 Nisan 2023 14:37","401","",""
"Bozuk, Böcekleniş Halley","14 Nisan 2023 13:42","537","",""
"Ülker Gofretten Cam Parçası Çıktı","14 Nisan 2023 13:12","592","Yediğim Ülker çikolatalı gafletten cam parçası çıkıp dişime battı. Ülker çalışanı gelip numuneyi benden aldı ve bana hiç dönüş yapmayıp bizim ürünlerimiz sağlık koşulları içinde üretilmiştir diye bir mail atıp konuyu kapattılar. Ben aradım ve bu konuyla ilgili kimseyle muhatap olamazsınız dediler. B","..."
"Ülker Açık Paketli Ürün","14 Nisan 2023 03:39","444","Ülker ürünlerini güvenerek alıp tüketiyorum ama aldığım Ülker Alpella mini rulo pasta ürünün paketi açık geldi 2 adet paketleme malzemesi ile paketlenmiş ve bir tarafı yapışmamış ve ürün bayat ve bozuk bunun telafi edilmesini istiyorum Ülker'e yakıştıramadım",""
"Ülker Gofret Aşırı Yağlıydı","14 Nisan 2023 01:07","1.952","Severek ve beğenerek aldığım Ülker shop Esenboğa ürünleri hakkında, aldığımız çilekli gofret tam bir trajedi, bildiğin piyasa gofretlerinden daha kötü bir tadı vardı sanki gofret yemiyoruz bildiğin yağ yiyoruz, Ülker e ne oldu da bu hale geldi. Lütfen gereğini yapınız",""
"Ülker Yupo Ayıcık İçindeki Siyah Parça","14 Nisan 2023 00:12","1.947","Ülker yupo ayıcık içinde siyah parça çıktı geçtiğimiz günlerde de kanky çikolata hakkında şikayet yazmıştım sağ olsunlar hemen dönüş yapıldı yine bu ürünü de Ülker shop mağazasından poşetli ürünler kısmından almıştım beni arayan numara hala duruyor.",""
"Ülker Paketten Eksik Çıkan Bisküvim","13 Nisan 2023 16:53","550","12.04.2023 çarşamba günü aldığım Ülker kakaolu pötibör bisküvi içeriği diğer pakete oranla eksik olduğu gözüme çarptı. Üşenmeden sandığımdan biri diğerinden 2 adet eksik olduğunu öğrendim. Aradılar ve ürün incelemeye alacaklarını söylediler. Hatalarını biz söyleye söyleye düzeltmeleri çok kötü bir E","..."
"Ülker Ece'nin Bozuk Ürünü","13 Nisan 2023 16:20","738","12.04.2023 tarihinde ulusal bir marketten aldığım Ülker ece şekerin paketinden çıkan şekerlerin bir kısmı bozulmuş ürün dışı beyazlamış şekilde çıktı, lütfen yaptığınız bu ayıbı düzeltin. Ben bu paketi şimdi değil de bayram sabahı açıp gelen misafirlere ikram etseydim ne olurdu? Ne duruma düşerdim.","..."
"Ülker Halleyin İçinden Çıkan İp Benzeri Bir Şey","13 Nisan 2023 15:44","280","Halley kalitesine güvenerek aldığım bir ürün tadını da seviyoruz fakat yerken içinden değişik bir plastik çıktı sanki çuval ipi gibi hiç beklemiyordum","..."
"Ülker Paketsiz Şeker","13 Nisan 2023 14:14","269","Aldığım bayram şekeri Ülker Toffe'den paketlenmemiş şekerler çıktı sanki birisi ağzında çiğnemiş de geri pakete koymuş gibi. A101'den almıştım çocuklar için. Öğrencilerime dağıtmak için aldım 350 gram 35 TL olan bir şekerden bahsediyoruz yazık günahtır paramızla ne olduk ya birine hediye etseydim!",""
"Ülker Çikolata Bozuk Çıktı","13 Nisan 2023 14:01","441","",""
"Ülker 'de Sorunlu, Hatalı Ve Bozuk Ürün","13 Nisan 2023 13:52","187","09.04.2023 tarihinde marketten birden fazla Ülker tuzlu çubuk aldık. Fakat içlerinden bir tanesi paketi şişmiş olduğunu gördük son. Kul. Tar. 02.09.2023 olan bu ürün hangi ihmalden dolayı bu şekilde şişmiştir. Yenmesinin uygun olmadığından paketi açmadık. Konu hakkında dönüşünüzü rica ederim.",""
"","12 Nisan 2023 22:06","482","",""
"Ülker Krispi Aldım, İçindekiler Birleşik Ve Üstünde Kahverengi Lekeler Var","12 Nisan 2023 21:08","677","Ülker krispi aldım içindekiler  birleşik şekilde çıktı ve üstünde kahverengi lekeler var, soslar sadece buraya birikmişti. Son kullanma tarihi de geçmemiş hâlâ. Instagram'dan yazdım ama dönüş olmadı. Ülker'in mail hesabını da bulamadım. Yazmak için.",""
"Ülker Belirtilen Malzeme İçinde Yok","12 Nisan 2023 20:25","389","Ülker karamelli caramio aldık. İşte sıfır karamel artık malzemeden mi eksiltiliyor? Ülker caramio eski kaliteyi bitirmişsiniz! Çikolatanın dibini gördük. Karamel bulabilmek için resmen sıfır lezzet sıfır karamel çok şaşırdım cidden bari karamelli yazmayın.",""
"Ülker Bisküvi İçinden Çıkan Böcekler","12 Nisan 2023 19:24","641","Daha önce marketten aldığım Ülker kremalı sandviç bisküvi bir paketini açtığımda içinde ufak ölmüş böcekler olduğunu gördüm ve bu durum beni çok kötü","..."
"Ülker Ambalajında Çikolata Vardı İçinde Yok","12 Nisan 2023 00:21","618","Ülker pötibör çifte lezzet ürününü aldım ambalajında bir tarafı çikolata resmi vardı içini açtım bir tanesinde bile çikolata yok normal bisküvi şeklinde duruyor.",""
"Ülker Çikolatalı Gofret Paketten Yarım Çıktı","11 Nisan 2023 22:50","673","Ülker çikolatalı gofret kapalı paket ama yarım gofret fazla miktarda almıştım iftardan sonra ailecek elimize birer gofret aldık benim gofretim içi yarım paketi açmadım ama boş yarısı mutfak tartısı ile tarttığımda olması gerekenin neredeyse yarısı ya artık gofrete de mi güvenemeyeceğiz ;( marketten","..."
"Ülker Çikolatanın İçindeki Kıl","11 Nisan 2023 21:15","318","Ülker tablet çikolatamın içinden kocaman bir kıl çıktı, yıllardır ailecek yediğimiz Ülker çikolatanın içinden upuzun bir kıl çıktı, midem bulandı. Ülker gibi büyük bir markanın çikolatasının içinden de kıl çıkmaz ya gerçekten çok şaşırdım, gözlerime inanamıyorum.",""
"Ülker Bembeyaz Bozuk Çikolata","11 Nisan 2023 01:36","290","Bozuk bembeyaz çikolata Antep fıstıklı en sevdiğim çikolata bozuk olduğunu görünce üzüldüm bir daha alamadım. Antep fıstıklı çikolata yiyemedim zaten aldığımı da boşa çöpe gitti. Çok üzücü bir durum en sevdiğim marka Ülker Ülker Ülker 💚💚💚💚💚💚💚💚",""
"","11 Nisan 2023 00:42","92","",""
"Ülker Kat Kat Tat Gofrette Kıl Çıktı","11 Nisan 2023 00:11","463","Çok severek yediğim Ülker kat kat tat kakaolu fındıklı kremalı milföyden iftardan sonra yemek için 3 tane satın aldım iftarımı yaptıktan sonra TV karşısında keyif yaparken açtığım o en sevdiğim kat kat gofreti açtığımda ambalajına yapışık şekilde yaklaşık 2 cm uzunluğunda kıl gördüm ve bütün keyfim","..."
"Ülker Beyaz Çikolatalı Pasta Tadında Halley Kuru Sert Bisküvi Gibi","10 Nisan 2023 22:03","940","Ülker Halley beyaz çikolatalı pasta tadında aldım kuru sert bisküvi ve pasta tadını bırak hiç güzel bir tadı yok ve fiyatı da yüksek bu kaliteye. Ülker in klasik Halley ini aradım yumuşacık çikolatalı Mis gibi Ülker bizi çok şaşırttı. Kupkuru sert ve beyaz çikolataya değil beyaz suya batırmışlar gib","..."
"Ülker Gıda Ve Sağlık","10 Nisan 2023 20:30","288","Ülker Halley'in tekli paketin içinde ısırılmış olarak Halley çıktı. Böyle bir dikkatsizlik olmamalı. Bence Ülker çok dikkatli bir marka olduğundan bu sorumsuzluk nasıl görmezden geldiler hiç bilmiyorum. Fabrikasından paketlenmeden önce ısırmışlar ve paketlemişler resmen. Bu durumdan dolayı oldukça r","..."
"Ülker Kanky Bozuk Çikolata","10 Nisan 2023 16:40","342","Çocuğum için aldığım Ülker Kanky çikolata bozuk çıktı. Zaten sağlıklı bir şey değil, ama bu görüntü beni daha da tedirgin etti. Instagram üzerinden de yazdım ama cevap verilmedi. Herhangi bir açıklama bekliyorum. Ürün hakkında bozuk mu değil mi sürekli tüketiyoruz. Bu markayı hatta sık sık Ankara Ül","..."
"Ülker Altınbaşak Grissini İçerisinde Yabancı Madde Çıktı!","10 Nisan 2023 15:56","1.274","Çağrı marketten satın aldığım Ülker Altınbaşak Grissini ürünün içerisinden yabancı madde ip şeklinde tuhaf bir şey çıktı. Hamile olduğum için mide bulantıma iyi gelmesi adına aldığım ürün midemi bulandırdı firmaya sosyal medya ve çağrı merkezi üzerinden yazmama rağmen hiçbir şekilde dönüş veya deste","..."
"","10 Nisan 2023 14:47","129","",""
"Ülker Kare Çikolata Bozuk Çıktı","10 Nisan 2023 00:28","280","Ürker kare çikolata aldık bozuk çıktı. Ya zehirlenseydik ne olacaktı size soruyorum. Telafisini istiyoruz. Ülker ürünü böyle olmamalı. Neresi olursa şikayette bulunacağım sizleri. Paramızdan alıyoruz ölecektik. İm verecek bunun cevabını söyler misiniz?",""
"Ülker Paketleme Hatası Olabilir","09 Nisan 2023 22:31","506","Ülker ürünün içinden paketsiz sanki çiğnenmiş tekrar konulmuş şekilde 4/5 tane çıktı. Severek yediğimiz üründü ilk kez başımıza böyle bir şey geldi. Kalite ve içerek olarak her zaman tercih ettiğimiz bir markanın bu şekilde paketlenmesi düşündürücü. Sadece Ülker tofinin içinde resimde ki gibi 4/5 ad","..."
"Ülker Mcvities Bisküvi Paketlerinde Eksik Parçalar","09 Nisan 2023 21:59","259","Ülker Mcvities cream Sandwich bisküvi her pakette bir yarım ısırılmış gibi parçalar çıkıyor sebebi ne anlamadım şimdiye kadar da hiç başımıza gelmiş b","..."
"","09 Nisan 2023 21:38","6.876","",""
"Ülker'in Orantısız İş Yapması Şaşırttı","09 Nisan 2023 21:22","250","Ülker markasına ait toffe şekerleme paketinden şok marketinden satın aldım. Almış olduğum paketin ön yüzünde 3 çeşit (karpuz. Karamel. Böğürtlen) yazıyordu fakat paket içerisinde bulunan çeşitlerin birbirinden daha fazla olduğu görülmüş neden bu şekilde olduğu hakkında bilgi verir. Misiniz Ülker'in","..."
"Ülker Ürünümün İçinden Bilmediğim Bir Cismin Çıkması","09 Nisan 2023 21:16","191","",""
"Ülker Çikolatalı Pasta Tadında Kıl Çıktı","09 Nisan 2023 18:34","297","Severek tükettiğimiz ve sürekli stoğunu bile yaptığımız Ülker çikolatalı pasta tadında çikolatasından iki katman arasında upuzun bir kıl çıktı çekip çıkarmaya çalıştık tamamen katmanlar arasında uzun ve kalın bir kıldı severek tükettiğimiz Ülker markası bizi çok şaşırttı",""
"Ülker Tarihi Geçmiş Ürün","09 Nisan 2023 17:55","667","Tarihi geçmiş ürün bugün marketten aldığımız Ülker krispi ketçap mayonez çubuğun tarihi geçmiş ama rafta eve geldikten sonra fark ettik ve çocuk bir iki tane yemiş oldu. Marketten ve Ülker'den şikayetçi olacağım. Bu nasıl bir dikkatsizlik gıda maddesi sonuçta ve genelde çocuklar yiyor bunu.",""
"Ülker Laviva Bozuk Çıktı","09 Nisan 2023 13:41","788","Ülker laviva çikolatasını aldım. Son tüketim tarihi geçmemesine rağmen ürün bozuk, üstünde beyaz noktalar var. Toplu olarak 10 tane almıştım ve ve hepsi aynı. Bu zamana kadar böyle bir durum yaşamadım. Fotoğrafları yüklüyorum kontrol ederseniz sevinirim.",""
"Ülker Çikolata Bozuk Ve Rengi Değişmiş","09 Nisan 2023 05:15","203","Ülker'de almış olduğumuz çikolatanın renginin ve kendisinin bozuk olduğunu gördük. İlk kez karşılaştık. Böyle bir durumla bu ürünleri çocuklar yiyor. Lütfen biraz dikkat edin. İnsanların sağlığı sonuçta en kısa zamanda ilgilenmeniz rica ediyorum sizden...",""
"Ülker İçinden Kağıt Çıktı","08 Nisan 2023 23:21","849","Hobby çikolatamın içinden kağıt çıktı ne büyük ihmal bakmadan yese çocuklar ne olacaktı. Bu kadar ihmal olur mu Dönüş yapılmasını istiyorum...",""
"Ülker Extra Çikolatalı Gofret","08 Nisan 2023 22:35","291","Çikolatanın içinden dişimi kıracak sertlikte taş gibi 3 adet parça çıktı. Ne olduğunu anlamış değilim, fakat fındık kabuğu olduğunu düşünmekteyim. Ürünü yemeye çekindim. Kutu kutu aldığım ve markasına çok güvendiğim bu ürün tekrar alır mıyım bilemiyorum.",""
"Ülker Çizi Saç Çıkması","08 Nisan 2023 19:16","2.750","Ülker çizi krakerden saç çıktı. Marketten almış olduğumuz çizi krakeri kızım yerken krakerin içinde saç çıktı Ülker müşteri hizmetleri aradık hafta sonu olduğu için ne yazık ki ulaşamadık böyle büyük ve köklü bir firmadan güvenip aldığımız ürün ve sonucunun böyle olması bizi bayağı üzdü",""
