"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","sv-model-button","sv-model-button href","ellipsis-text","large-view src","large-view src 2"
"Turk Net Şikayet","https://www.sikayetvar.com/turknet/turk-net-sikayet-1","Telat","11 Ocak 18:23","663","TurkNet firmasından ev internet paketi aldık fakat internet açılmadı çünkü bağlantı kuramıyorum. En ilginç olanı ise karşı tarafta muhatap bulamıyorum. İki gündür belki 50 defa aradım, iptal ettiremiyorum. Teknik hizmet almak istiyorum ancak alamıyorum. Ben böyle ilgisiz bir firma görmedim. Nereden","","","...","",""
"TurkNet Gigafiber Altyapısı İsteği","https://www.sikayetvar.com/turknet/turknet-gigafiber-altyapisi-istegi","Cemil","11 Ocak 17:34","1.184","Ortalama 80.000 kişinin yaşadığı İstanbul Başakşehir / Bahçeşehir 2. Kısım Mah. De TurkNet gigafiber hizmeti vermiyor. WhatsApp gruplarında binlerce kişi başvuru talebinde bulunduğunu söylüyor. Fakat uzun zamandır bir sonuç alamadık. Acilen gigafiber altyapısı istiyoruz.","#Gigafiber","https://www.sikayetvar.com/turknet/gigafiber","","",""
"TurkNet'e Ulaşamıyorum 3 Aydır","https://www.sikayetvar.com/turknet/turknete-ulasamiyorum-3-aydir","Zafer","11 Ocak 16:33","810","TurkNet Firmasına yeni kurumsal abonelik için 3 aydır ulaşamıyorum, Firma yetkililerinin bu durumdan haberdar mı değil mi bilmiyorum fakat ciddiye alınmadığını düşünüyorum, o kadar kayır bırakmama rağmen 1 kez aramışlar ki telefon ile görüşüyorum açamadım, aranan numarayı tekrar arama ihtimaliniz yo","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"","","Aydan","11 Ocak 16:31","718","","","","","",""
"TurkNet Müşteri Hizmetlerinin Yalanı","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetlerinin-yalani","Cemil","11 Ocak 16:23","315","Ancak 10 gündür ısrarla işlem yaptırmaya çalışıyorum. Fakat bir sonuç alamıyorum. Sürekli 'sizi aradık ancak ulaşamadık' şeklinde mesajlar alıyorum; ancak beni arayan olmadı. İş yerimde internetim olmadığı için işlerimi yürütemiyorum ve bu durumdan kaynaklanan zararın tamamını TurkNet'e atfetmek dur","","","...","",""
"TurkNet Gigafiber Altyapısı Problemi","https://www.sikayetvar.com/turknet/turknet-gigafiber-altyapisi-problemi","Umut","11 Ocak 16:22","1.187","İstanbul Maltepe merkezde ve çok daireli bir apartmanda yaşıyorum. TurkNet'den çok reklamını yaptıkları gigafiber altyapısı almak istediğimde bölgemde altyapı olmadığı ve yeterli talep olmadığı için belirsiz bir süre daha olmayacağı bilgisini aldım. Bireysel bir müşteri olarak kampanya mı yapayım, m","#Gigafiber","https://www.sikayetvar.com/turknet/gigafiber","...","",""
"TurkNet Altyapı Çalışması Yerine Üstyapı Çalışması Yapılmakta","https://www.sikayetvar.com/turknet/turknet-altyapi-calismasi-yerine-ustyapi-calismasi-yapilmakta","Ali","11 Ocak 15:37","808","İstanbul / Bağcılar / fevziçakmak Mahallesi'nde TurkNet tarafından yapılan altyapı çalışmaları sonucunda binaların üstlerinden veya binadan binaya fiber kablolar çekiliyor. Sorduğumuzda altyapı çalışması dedikleri halde, üst yapı ile mahalleyi örümcek ağları gibi kablolarla kaplıyorlar. Konuyla ilgi","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","https://files.sikayetvar.com/complaint/2754/27540312/turknet-altyapi-calismasi-yerine-ustyapi-calismasi-yapilmakta-4_350x350.jpg","https://files.sikayetvar.com/complaint/2754/27540312/turknet-altyapi-calismasi-yerine-ustyapi-calismasi-yapilmakta-1_350x350.jpg"
"TurkNet İşini Düzgün Yap","https://www.sikayetvar.com/turknet/turknet-isini-duzgun-yap","Kadriye","11 Ocak 15:27","1.088","TurkNet iki hafta önce internet için abone olmama rağmen hala bana geri dönüş yapmadı. Müşteri hizmetlerine ulaşılmıyor. Asla bir muhatabınız yok. Dalga geçer gibi bir durum. Aman diyeyim bildiğinizden şaşmayın. Kalitesizliğini erkenden gösterdi. Bir ulaşsalar iptal edeceğim.","","","","",""
"TurkNet Ödediğim Faturalar Ve Kampanyalar Ödenmedi Görünüyor","https://www.sikayetvar.com/turknet/turknet-odedigim-faturalar-ve-kampanyalar-odenmedi-gorunuyor","Onur","11 Ocak 15:25","6.288","TurkNet'e Şubat 2023 tarihinde 10 aylık sabit fiyat fırsatından yararlanarak kampanyaya katıldım ve Temmuz ayında yurt dışına gideceğim için hizmetimi dondurdum. Bu sürede geri kalan 5 aylık hizmetin, dönüş yaptığımda devam edeceği söylendi. Ancak fiyat artışı olduğu için hizmetimi devam ettirmedile","","","...","https://files.sikayetvar.com/complaint/2754/27540061/turknet-odedigim-faturalar-ve-kampanyalar-odenmedi-gorunuyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2754/27540061/turknet-odedigim-faturalar-ve-kampanyalar-odenmedi-gorunuyor-4_350x350.jpg"
"TurkNet Ortadan Kayboldu Aktivasyon İçin Ulaşamıyoruz","https://www.sikayetvar.com/turknet/turknet-ortadan-kayboldu-aktivasyon-icin-ulasamiyoruz","Reşide","11 Ocak 15:14","775","TurkNet'ten internet satın aldık süreç zaten çok uzadı kurulum yapıldı ama aktivasyon yapılmıyor bir muhatap da bulamıyoruz. Aramaya kapalılar size döneceğiz diyorlar dönmüyorlar bize ulaşın sayfalarından yazıyoruz cevap yok. Evden çalıştığımız için çok mağdur olduk. Ne yapacağımızı şaşırdık lütfen","","","...","",""
"TurkNet İnternet Bağlantı Sorunları Ve Müşteri Hizmetleriyle İletişim Zorlukları","https://www.sikayetvar.com/turknet/turknet-internet-baglanti-sorunlari-ve-musteri-hizmetleriyle-iletisim-zorluklari","Uğur","11 Ocak 14:52","1.167","22.12.2023 tarihinde TurkNet'e abone oldum ancak ne yazık ki internet bağlantısı sağlanamadı. Evimde hâlâ internet yok. Modem alınması gerektiği söylendi; modem aldım. Daha sonra iç tesisatta arıza olduğu belirtildi; tesisatı yaptırdım fakat sorun hâlâ çözülemedi. Müşteri hizmetlerine ulaşmak da ayr","","","...","",""
"","","Tolga","11 Ocak 14:45","36","","","","","",""
"TurkNet Abonelik İptali Sonrasında Fahiş Faturalandırma","https://www.sikayetvar.com/turknet/turknet-abonelik-iptali-sonrasinda-fahis-faturalandirma","Ali","11 Ocak 13:52","2.533","TurkNet abonelik iptali sonrasında gelen faturalandırma. Yaklaşık 3-4 yıl önce iptal ettiğim aboneliğim için 2023 yılının Mart ayında 36.82 TL, Mayıs 2023 6.98 TL, Mayıs 2023 6.98 TL faturalandırma çıkmış. Tarafıma hiçbir şekilde mesaj, arama veya fatura yoluyla bilgilendirme yapılmamıştır. Bankacıl","","","...","",""
"TurkNet Peşin Ödeme Yaptım Ödeme Yaptığım Halde 1 Fatura Çıkarttılar","https://www.sikayetvar.com/turknet/turknet-pesin-odeme-yaptim-odeme-yaptigim-halde-1-fatura-cikarttilar","Tuncay","11 Ocak 12:50","1.798","TurkNet firması ile internet bağlantısı için 2023 aralık ayın son 10 günü içerisinde 3-4 kez görüşme gerçekleştirdim. Şartları nedir nasıl oluyor diye. Müşteri hizmetleri peşin ödemelerde 299 TL faturaların 279 TL'ye düşeceğini ve kurulum bedeli olan 600 TL nin 450 TL'ye düşeceğini söyledi. Aralık a","","","...","",""
"","","Halit","11 Ocak 12:18","1.101","","","","","",""
"TurkNet Yalan Beyan, Yanlış Adres, Müşteri Temsilcisinin Muamelesi","https://www.sikayetvar.com/turknet/turknet-yalan-beyan-yanlis-adres-musteri-temsilcisinin-muamelesi","Sıbğatullah","11 Ocak 12:00","668","10.01.2024 tarihinde TurkNet aboneliği başvurusu yaptım. Müşteri temsilcisi adresimi yanlış girmiş. Ayrıca bana kurulum için aranıp randevu oluşturulduğu söylendiyse de bugün Türk Telekom saha ekibinden arayarak geldiklerini ve böyle bir yöntemlerinin bulunmadığını söylediler. Adres yanlış olduğu iç","","","...","",""
"TurkNet Müşteri Temsilcisine Hızlı Ulaşılamıyor","https://www.sikayetvar.com/turknet/turknet-musteri-temsilcisine-hizli-ulasilamiyor","İbrahim","11 Ocak 11:59","941","Müşteri temsilcisine ulaşılamıyor. Karşıda muhatap yok; bunlara ulaşmak imkansız. Canları isterse seni arıyorlar. Bu kadar sıkıntılı iş görmedim. A bloktan B bloka nakil yapacaksınız; bu kadar mı zor? Faturalar düzenli olarak ödeniyor. Bu zamana kadar her 3 ayda bir zam yapıyorsunuz. Sesimiz çıkmıyo","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"TurkNet Randevu Verip Gelmedi Ve Oyaladı","https://www.sikayetvar.com/turknet/turknet-randevu-verip-gelmedi-ve-oyaladi","Emir","11 Ocak 11:51","601","TurkNet başvurmuş olup 9 Ocak tarihinde iletişimde kalıp Randevu vermelerine üzerine işimden izin alıp eve gitmek zorunda kaldım. Ve verilen Randevuda kimse gelmedi! Bunun üzerine bende ofiste zor duruma düştüm ve çok ciddi bir şekilde mağdur etti beni TurkNet. Bunun üzerine bana sadece özür diled","","","...","https://files.sikayetvar.com/complaint/2753/27537363/turknet-randevu-verip-gelmedi-ve-oyaladi-3_350x350.jpg","https://files.sikayetvar.com/complaint/2753/27537363/turknet-randevu-verip-gelmedi-ve-oyaladi-5_350x350.jpg"
"TurkNet İnternet Memnun Değilim","https://www.sikayetvar.com/turknet/turknet-internet-memnun-degilim","Şifa","11 Ocak 11:49","882","TurkNet iş yerim için internet aboneliğine başvuru yapmak istedim çok hızlı internet diye reklam yapmışlar ama müşteri hizmetlerine 15 dakika beklettiler yine de bağlanamadım vazgeçtim. Böyle bir hizmetin var olup olmadığından emin değilim şimdi Turk Net","","","","",""
"TurkNet Altyapı Yok Diye Kurulum Yapılmıyor!","https://www.sikayetvar.com/turknet/turknet-altyapi-yok-diye-kurulum-yapilmiyor","Tolga","11 Ocak 11:49","1.080","Bundan 1 ay önce evimde D Smart kullanıyordum. TurkNet e başvuru yaptım. İlk başvurumun iptal olmasının sebebi adresimde fiber altyapısı olmamasıydı. Tekrar benimle iletişime geçerek normal bakır hizmeti alabileceğimi öğrendim ve tekrar başvuru yaptım. Ancak Türk Telekom ekiplerini aradıklarını adre","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet'e Ulaşmak İmkansız.","https://www.sikayetvar.com/turknet/turknete-ulasmak-imkansiz-10","Ahmet","11 Ocak 11:31","1.219","Yeni abonelik için TurkNet Müşteri temsilcisine ulaşamıyorum. Sitede 50 bin tane telefon var ama hepsi kısır döngü gibi bir ses kaydına çıkıyor ve Abonelik için hiçbir tuş yok. Müşteri temsilcisine bağlanmadan işleriniz Online İşlemler menüsünden yapın diyor, Önceden aboneliğim vardı ama kapatmıştım","","","...","",""
"TurkNet Pişmanlık. Müşteri Hizmetleri Yok No:3675396","https://www.sikayetvar.com/turknet/turknet-pismanlik-musteri-hizmetleri-yok-no3675396","İzzet","11 Ocak 11:04","1.083","Dün TurkNet'e geçtik, keşke geçmeseydik. Vodafone net'i iptal ettik, TurkNet kurulum ekibi göndereceklerini söylediler. Ancak göndermediler, 3 gündür Vodafone'u iptal edin diyoruz. 'Biz kurulum ücreti almadan size destek olalım' dediler. Tamam dedik, kullanıcı adı vs. gönderdiler. Modem arayüzüne gi","#Modem","https://www.sikayetvar.com/turknet/modem","...","",""
"TurkNet İnternet Hizmetinde Yaşanan Sürekli Kesintiler","https://www.sikayetvar.com/turknet/turknet-internet-hizmetinde-yasanan-surekli-kesintiler","Vlaq","11 Ocak 10:58","559","Eskiden memnun olduğum hizmet kalitesi, taşınma sonrası maalesef düştü. Taşınmamın ardından bir ay boyunca 'internetinizi bağlıyoruz' sözleriyle oyalanmış bulunmaktayım. Bağlantı sağlandıktan sonra ise internetim bir hafta var, bir hafta yok şeklinde kesintilere uğramaya başladı. VDSL ışığının sık s","#VDSL","https://www.sikayetvar.com/turknet/vdsl","...","",""
"TurkNet İnternet Bağlantısı Yok","https://www.sikayetvar.com/turknet/turknet-internet-baglantisi-yok-240","Uğur","11 Ocak 10:50","825","Bu kadar umursamaz bir şirket olamaz. 2 haftadır internet hızımda düşüş var. Bugün ise çekmiyor. Aradığımda muhatap dahi bulamıyorum. Sürekli telesekreter çıkıp duruyor. Taahhüt vs olmadığı için kafalarına göre fiyat arttırıyorlar. Bu kadar sorumsuzluk olmaz ne mağduriyet gideriyorlar ne de müşteri","","","...","",""
"TurkNet Hizmet Nakil Çıkmazı.","https://www.sikayetvar.com/turknet/turknet-hizmet-nakil-cikmazi","Azat","11 Ocak 10:10","1.013","Herkese merhabalar. Öncelikle 2019'dan beri TurkNet kullanıcısıyım ve bir şekilde çevreme her zaman memnun olduğumu belirterek yaşadığım oyalama hakkı","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"TurkNet İş Bilmez Kadro İş Başında","https://www.sikayetvar.com/turknet/turknet-is-bilmez-kadro-is-basinda","Arif","11 Ocak 09:04","637","TurkNet'in fatura oyunu bir türlü bitmedi. Yanıltıcı reklam bilgisiz müşteri temsilcileri, yani köy bakkalı daha ilgili. Beğenmezseniz tüm ücretler iade ve iptal kampanyasından hizmet almaya başladığım zamandan 14 gün sonra iptal ettim. Aynı web sitelerinde yazdığı gibi hizmet almaya başladıktan son","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
"TurkNet İnternet Kurulum Yapmaya Gelmeyen","https://www.sikayetvar.com/turknet/turknet-internet-kurulum-yapmaya-gelmeyen","Sezgin","11 Ocak 08:50","605","4 ocakta internet aboneliği başvurusu yaptım kurulum için ne gelen var ne arayan bugünde gelmedikleri takdirde iptal edeceğim müşteri iletişim sıfır. Müşteri hizmetlerini arıyorum size en yakın zamanda döneceğiz diyor ama hala dönecekler bekliyor tavsiye edildiği gibi değilmiş","","","","",""
"","","Burcin","11 Ocak 04:15","273","","","","","",""
"TurkNet İnternet Olmaması 3.","https://www.sikayetvar.com/turknet/turknet-internet-olmamasi-3","Veysel","11 Ocak 01:45","743","Üç gündür DSL ışığı yanmıyor. Firmanın belirttiğine göre Türk Telekom altyapı çalışması yapıyor; ancak Türk Telekom kullananların bir sorunu yok. Bu, TurkNet'te üçüncü kez oluyor. Aynı şekilde üç-dört gün internet gelmiyor ve kimse yardımcı olmuyor. Hiçbir şekilde bir memnuniyet sağlanmıyor. Derhal","","","...","",""
"TurkNet Nakil Sorunu Ve İşlem Yapılmaması","https://www.sikayetvar.com/turknet/turknet-nakil-sorunu-ve-islem-yapilmamasi","Ergün","11 Ocak 01:39","547","24.12.2023 tarihinde yeni evime taşındım ve internet naklimi gerçekleştirdim. 29.12.2023 tarihinde kurulum için randevu verildi ancak kimse gelmedi. O günden bu yana hâlâ evime internet bağlantısının gelmesini bekliyorum. Sürekli iletişim kuruyoruz ve ekipler tarafından verilen cevap hep aynı: 'Acil","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"TurkNet Servis Sorunu Yaşıyorum Şikayetçiyim İlgili Kurumlara Sesleniyorum Cu","https://www.sikayetvar.com/turknet/turknet-servis-sorunu-yasiyorum-sikayetciyim-ilgili-kurumlara-sesleniyorum-cu","Getir","11 Ocak 01:33","404","1 haftadır internetim için servis sağladılar ama ne geliyorlar ne de bilgi veriyorlar. TurkNet'i kimseye önermeyeceğim. Ne zaman arasam 'mail atıyoruz, dönüş yapacaklar, sizi aramışlar ama ulaşamamışlar' diyorlar. Yarın CİMER'e şikayetimi yazacağım, bilginize...","","","","",""
"TurkNet İnternet Aboneliği Konusunda Yaşanan Mağduriyet Şikayeti","https://www.sikayetvar.com/turknet/turknet-internet-aboneligi-konusunda-yasanan-magduriyet-sikayeti","Kerem","11 Ocak 00:34","859","Google'dan bulduğum Türk Telekom altyapısını kullanan ve TurkNet'e bağlı olduğunu söyleyen, fakat sözleşmeleri imzaladıktan sonra Saadet Net olduklarını söyleyen +908504335170, +908502888080, +905*******77, +902129456053 ve bunlarla ilişkili telefon numaralarının benim adıma açabileceği herhangi bir","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet 100mbps Olması Gereken İnternet Hızımın 10larda Gezmesi?","https://www.sikayetvar.com/turknet/turknet-100mbps-olmasi-gereken-internet-hizimin-10larda-gezmesi","Berkant","10 Ocak 23:14","1.164","Her gün özellikle akşam saatlerinde normalde 100 Mbps hızında olması gereken internetim 10'larda hatta bazen 5'lerde dolaşmakta. Her gün TurkNet online işlemler bölümünden destek kaydı oluşturmaktan ve aynı cümleleri tekrar tekrar bana söylemelerinden, hiçbir olumlu sonuca ulaşamamaktan bıktım. Çok","#Online İşlemler","https://www.sikayetvar.com/turknet/online-islemler","...","https://files.sikayetvar.com/complaint/2753/27533881/turknet-100mbps-olmasi-gereken-internet-hizimin-10larda-gezmesi-2_350x350.jpg","https://files.sikayetvar.com/complaint/2753/27533881/turknet-100mbps-olmasi-gereken-internet-hizimin-10larda-gezmesi-4_350x350.jpg"
"TurkNet İnternet Sağlayamaması Ve Fatura Kesmesi","https://www.sikayetvar.com/turknet/turknet-internet-saglayamamasi-ve-fatura-kesmesi","Gokhan","10 Ocak 22:00","870","Merhaba. Yaklaşık 1 ay önce geçiş yaptığım TurkNet servis sağlayıcı tarafından herhangi bir hizmet verilmedi. İnternet servisi çalışmadı. Sayısız destek talebi açtım. Türk Telekom yetkililere eve 3 kere geldi 2 kere modem değişti. Sorunun TurkNet'te olduğunu söylediler. TurkNet denen bu firma sürek","","","...","https://files.sikayetvar.com/complaint/2753/27533170/turknet-internet-saglayamamasi-ve-fatura-kesmesi-1_350x350.jpg",""
"TurkNet İnternet Hızı Çok Düşük","https://www.sikayetvar.com/turknet/turknet-internet-hizi-cok-dusuk-44","Hüseyin","10 Ocak 21:52","1.080","TurkNet internet hızı inanılmaz düşük ve teknik destek sağlamıyorlar. Müşteri hizmetleri sadece arıza kaydı oluşturuyor. Kimseyle muhatap olamıyorum. Bu şekilde devam ederse bir an önce internet aboneliğimi sonlandıracağım. İlk kez bu şekilde çalışan bir servis sağlayıcısıyla karşılaşıyorum.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","https://files.sikayetvar.com/complaint/2753/27533083/turknet-internet-hizi-cok-dusuk-1_350x350.jpg",""
"TurkNet İnternet Modem Kurulumu Yaptım Ama İnternet Yok!","https://www.sikayetvar.com/turknet/turknet-internet-modem-kurulumu-yaptim-ama-internet-yok","Kemal","10 Ocak 21:36","528","Kardeşim, müşteri hizmetlerine ulaşamıyorum. Modem kurulumu yaptım ama internet yok diyor. Pişmanlık duymak istemiyorum. Bütün akrabalarıma söyledim. Bilginiz olsun.","#Modem","https://www.sikayetvar.com/turknet/modem","","",""
"TurkNet 1 Haftadır İnternetimi Sağlamadı","https://www.sikayetvar.com/turknet/turknet-1-haftadir-internetimi-saglamadi","Sercan","10 Ocak 21:36","595","Ayın 4 ünde başka operatörden TurkNet e geçmek istedim ve telefonla işlemler başlatıldı. Fakat şivesi olan bir arkadaş beni yönlendiremediği için imza elektronik ortamda değil kuryenin belgeyi getirmesiyle oldu. Onu da geçtim internetim gelmedi. Ayın 8inde Superonline taahhüdüm bitti ve modem ayarla","#Modem","https://www.sikayetvar.com/turknet/modem","...","",""
"","","Recep","10 Ocak 20:41","31","","","","","",""
"TurkNet Çözülmeyen Sorun İnternet Yok","https://www.sikayetvar.com/turknet/turknet-cozulmeyen-sorun-internet-yok","Çağla","10 Ocak 20:18","511","İki gündür internetimiz yok, arıyoruz ancak cevap veren olmuyor. Yazıyoruz ve saatler sonra cevap alıyoruz. Evden çalışıyorum ve tüm düzenimizi altüst ettiniz. Bu mağduriyetimi kim karşılayacak? Günlerdir çözülemeyen bu sorun nedir anlamıyorum. Böyle bir sorumsuzlukla daha önce karşılaşmadım! Lütfen","","","...","",""
"","","Ayşin","10 Ocak 20:11","7","","","","","",""
"TurkNet'in Hizmet Verememesi","https://www.sikayetvar.com/turknet/turknetin-hizmet-verememesi-4","Fatih","10 Ocak 19:53","991","TurkNet tarafından İzmir'den Ankara'ya internet aboneliğimin taşınması için başvurdum ve TurkNet yetkilileri tarafından 7-10 gün içerisinde yeni adresimde internete kavuşacağım vaat edildi. Ancak bu süreçte yeni adresimde gigafiber altyapısının olduğu ve hizmetimin gigafibere geçeceği bildirildi. Ra","","","...","https://files.sikayetvar.com/complaint/2753/27531659/turknetin-hizmet-verememesi-4_350x350.jpg","https://files.sikayetvar.com/complaint/2753/27531659/turknetin-hizmet-verememesi-6_350x350.jpg"
"TurkNet İnternet Aldım 75 Mbps Diye Ama 16 Mbps İnternet Geliyor!","https://www.sikayetvar.com/turknet/turknet-internet-aldim-75-mbps-diye-ama-16-mbps-internet-geliyor","Sabri","10 Ocak 19:47","462","İnternet hizmetim yetersiz olduğu için TurkNet'e geçmeye karar verdim. Ancak geçiş yaptıktan sonra memnun kalmadım. Bana taahhüt edilen 75 Mbps hız, bazen 30 Mbps'ye, bazen de 16 Mbps'ye düşüyor. Hatta zaman zaman hiç internet alamıyorum. Eğer bu hızları sağlayamayacaksanız, neden 75 Mbps hız verece","","","...","",""
"TurkNet İnternet Hizmeti Fibere Geçiş","https://www.sikayetvar.com/turknet/turknet-internet-hizmeti-fibere-gecis","Aybike","10 Ocak 19:46","505","Uzun zamandır TurkNet kullanıcısıyım. Fibere geçiş için talepte bulundum ve gelip modemi değiştireceklerini söylediler, ancak söyledikleri gün gelmediler. Mayıs ayından beri yazıyorum, arıyorum; sadece 'yetkili birime konuyu iletiyorum' yanıtını alıyorum ve hiçbir şey yapılmıyor. 3 aydır kendi modem","","","...","",""
"","","Caner","10 Ocak 19:04","956","","","","","",""
"Kocaeli Gölcük TurkNet Kurulum","https://www.sikayetvar.com/turknet/kocaeli-golcuk-turknet-kurulum","Şafak","10 Ocak 18:57","814","TurkNet ev internetine başvuruda bulundum. Kocaeli Gölcük kurulum ekibi çeşitli bahanelerle kurulumu üç hafta kadar erteledi. Sabır gösterdim; ancak bugün aradıklarında 'yarın kuracağız' diye randevu verdiklerinde yine gelmeyeceklerini düşündüğüm için TurkNet ile olan sözleşmemi iptal etme kararı al","","","...","",""
"TurkNet Eski Aboneliğimin İptali Sağlanmamış.","https://www.sikayetvar.com/turknet/turknet-eski-aboneligimin-iptali-saglanmamis","Ilgın","10 Ocak 18:57","549","Geçen ay TurkNet'e fibere geçiş yaptım. Diğer firmamın iptali sağlanacak denilmiş fakat sağlanmamış. Ayrıca oradan gelen faturayı da karşılamayı kabul etmiyorlar. Geçiş esnasında apartmanın su borusunu patlatıp beni mağdur eden de TurkNet çalışanıydı. Bununla ilgili olarak 500 TL ödeme yapmış olmama","","","...","",""
"TurkNet'ten Gelen Rahatsız Edici Mesaj","https://www.sikayetvar.com/turknet/turknetten-gelen-rahatsiz-edici-mesaj","Gldn","10 Ocak 18:17","93","Ev internet paketleriyle ilgili bilgi almak için TurkNet müşteri temsilcileriniz ile gerçekleştirdiğim görüşme sonrası 0533709***6 numaralı numaradan hoş olmayan beni rahatsız eden mesajlar almaya başladım. Daha sonrasında sorguladığımda bu numaranın kullanılmadığını öğrendim.","","","","",""
"TurkNet Müşteri Hizmetlerine Ulaşılmıyor!","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetlerine-ulasilmiyor-37","Veysel","10 Ocak 17:52","957","TurkNet ile yıllık ödeme kampanyası yapmıştım ve kampanyamın bitip bitmediğini bile öğrenemiyorum. 400 TL fatura göndermişler ve tekrardan kampanya hakkında işlem yapmak için arıyorum ama hiçbir şekilde müşteri hizmetlerine bağlanamıyorum! Yani bizi aramanız için illa şikayet mi edelim? Çok mu zor o","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
"Turk.net Oyaladı Oyaladı Sonra Aboneliği Yapmıyor","https://www.sikayetvar.com/turknet/turknet-oyaladi-oyaladi-sonra-aboneligi-yapmiyor","Habip","10 Ocak 17:36","800","4 Ocak ta turk.net e abone oldum 5 Ocakta evraklarımı tamamladım ve 5 Ocakta sözleşme onayım gerçekleşti. 6 Ocakta ekip geldi kurulum için binada hat yok dendi altyapı hazırlanacak dendi. 9 Ocakta altyapı çalışmamız tamamlandı dendi. 10 Ocakta iş yerimden izin alıp eve gittim ama meğer altyapı falan","","","...","",""
"TurkNet İnternet İm Yok 15 Gündür","https://www.sikayetvar.com/turknet/turknet-internet-im-yok-15-gundur","Enes","10 Ocak 17:27","665","1 buçuk yıldır aktif olarak kullandığım internet TurkNet'in beceriksizliği yüzünden 15 gündür yok şu an. Yok port Switch hep bahane yeni binada bazı dairede var bazılarında yok Bir ekip yollayamadılar hep bahane yok bugün yok yarın deyip oyaladilar... Mağdur oldum hiç memnun değilim","","","","https://files.sikayetvar.com/complaint/2752/27529899/turknet-internet-im-yok-15-gundur-1_350x350.jpg",""
"TurkNet Nakil İşlemi Lakayıtlık","https://www.sikayetvar.com/turknet/turknet-nakil-islemi-lakayitlik","Sena","10 Ocak 17:19","841","TurkNet 2260831 numaralı internet aboneliği için 8 gündür ekip bekliyorum; ancak ekip bir türlü gelmiyor. Verilen randevu saatinde gittiğimizde ise 'gelemem' diyor. Bu kadar işin arasında evden ayrılmış bulunuyoruz. Lakayt tavırlarla 'git, kime şikayet edersen et, bir şey olmaz' demesi ve sonra arad","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"TurkNet İle İletişim Kuramıyorum, Ulaşamıyorum","https://www.sikayetvar.com/turknet/turknet-ile-iletisim-kuramiyorum-ulasamiyorum","Ahmet","10 Ocak 16:37","3.962","TurkNet'e internetimle ilgili bir sorun hakkında destek kaydı oluşturdum. Ancak arayan yok. Müşteri temsilcisine bağlanma şansı da vermiyorlar. Arayamıyorum. TurkNet'e ulaşmak imkansız. Bu kadar ilgisiz, çözümsüz bir firma olamaz.","","","","",""
"TurkNet Adres Değişikliği Sorunu","https://www.sikayetvar.com/turknet/turknet-adres-degisikligi-sorunu-1","Duygu","10 Ocak 16:27","545","30 Aralık tarihinde TurkNet isimli internet firmasına adres değişikliğimiz için talepte bulunduk. Evimize geldiler; fakat internet kablosunun olmadığını öne sürerek, hiçbir işlem yapmadan evden ayrıldılar. Onlar gittikten sonra evin içine baktığımızda internet kablomuzun olduğunu gördük. Kendileri,","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"TurkNet Müşteri Hizmetlerine Ulaşılamıyor","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetlerine-ulasilamiyor-58","Murat","10 Ocak 15:51","1.517","TurkNet'ten sadece ve sadece taahhütsüz olduğu için ev interneti aldım. Kurulumu Türk Telekom yaptı. Statik IP de istediğim halde 1 haftadır tanımlanmadı. Günlerdir TurkNet müşteri hizmetlerine ulaşmaya çalışıyorum ama satış esnasında beni günde 3 kez arayan müşteri hizmetlerine günlerdir ulaşamıyor","","","...","",""
"TurkNet Kampanyası Fiyat Oyunu","https://www.sikayetvar.com/turknet/turknet-kampanyasi-fiyat-oyunu","Şevket","10 Ocak 15:34","1.797","TurkNet'ten geçen sene 10 aylık internet için peşin ödeme kampanyasına katılmıştım. Ocak ayında ödediğim kampanyadan, Şubat'taki deprem sebebiyle yararlanamadım ve hizmeti dondurdum. Aralık ayında taşındığım evimde dondurduğum hizmeti tekrar aktif hale getirerek kullanmaya başladım; ancak tarafıma f","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
