"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Hediye Çekimi Vermedi","Emre","22 Temmuz 01:57","199","Opet 100 TL ""Yanımda"" uygulamasıyla ilk kez fatura ödemede hediye çeki vereceğini söyledi. Ödememi yaptım. Hediye çeki ekranındayken bir anda program bağlantı hatası gibi bir şey verip başka bir sayfaya geçti. Müşteri temsilcisi bir temsilci vasfında uzak benimle konuşarak yardımcı olmak yerine sini","...","#Yanımda"
"Vodafone Tarife Ücreti Şikayeti","Ayten","22 Temmuz 01:50","164","Normalde faturam 600 TL fakat benim bilgim olmadan direk 999 TL olmuş ama ne yazık ki çalıştığım ve bir ailem olduğundan dolayı bu kadar yüksek faturayı ödeyemem maalesef. Eğer böyle olursa başka hatta geçiş yapacağım. Bu miktar benim için çok fazla. Üniversite okuyacak kızım ve evlenecek bir kızım","...","#Faturalı Tarifeler"
"Vodafone Hediye Çarkı Günlük GB Sorunsalı","Özgenur","22 Temmuz 01:45","369","Vodafone hediye çarkından sürekli günlük 1 GB internet çıkıyor. Pazartesinden pazartesine aktif olan bir çarkta geri kalan 6 günü ne olacak hediyeler günlükse neden haftadan haftaya tek bir hak var? Paketimin yenilenmesine 10 gün var beni idare edecek bir GB çıkar umuduyla çeviriyorum 3 haftadır 1 G","...","#Hediye Çarkı"
"Vodafone Onaysız Yüksek Fatura: Öğrenci Mağduriyeti","Oya","22 Temmuz 01:44","207","Kullanmakta olduğum 237 TL olan tarifem ve taahhüdü bitti ve asla onayım olmadan çok yüksek bir tarife devreye sokuldu. 780TL lik bir faturayı her ay ödeyebilmem imkansız. Öğrenciyim eski tarifemi bile ödemekte güçlük çekiyordum. Yardımcı olunmazsa operatör değişikliği yapmak zorunda kalacağım. Bir","...","#Faturalı Tarifeler"
"Vodafone Kolay Paket Hediyesinin Gelmemesi","Naim","22 Temmuz 01:20","248","Aldığım kolay pakette o kolay paketi alırsam aynı zamanda hediye 3 GB internet geleceği yazıyordu. Fakat aldığım yaklaşık 5-6 pakettir hediye internet verilmedi. Son yüklediğim paketi 2 hafta önce yükledim bu paketteki hediye internetim yine gelmedi. Bu sorunumun çözülmesini arz ederim.","","#Kolay Paket"
"Vodafone Müşterilerini Yüksek Fiyatlara Mecbur Bırakıyor!","Gülden","22 Temmuz 01:19","260","","","#Faturalı Tarifeler"
"Vodafone Operatörü Değiştirmiyorlar 6 Gün Oldu Hat Elime Ulaşalı","Emirhan","22 Temmuz 01:13","120","6 gündür hattımın Vodafone'a geçmesini bekliyorum. 6 gündür ne verdikleri numaraya ulaşabiliyorum ne de herhangi bir muhatap ile konuşabiliyorum. Böyle koskoca reklamlar veriyorlar Vodafone diye ama bir şeye benzediği yok. Lafa gelince her şeyin en kolayı sizde ama daha hattı açamıyorsunuz bile.","","#Hat Devir"
"Vodafone Cihaz Puanı Sıfırlanması","Veysel","22 Temmuz 01:07","152","Vodafone'dan çok şikayetçiyim. Cihaz puanım 2 gün öncesinden varken 2 gün sonrasında nasıl sıfırlanıyor? Ayrıca müşteri hizmetlerine söyledim, kayıt açın diye. Efendim, kayıt açtık. Kayıt numarasını alabilir miyim dedim. 5 dakika sonra size mesaj gelecek dedi. Basbayağı yalan söyledi. Gelen mesaj yo","...","#SMS"
"Vodafone Şaşırtmadı, Habersiz Tarife Yenileme","İsmail","22 Temmuz 01:01","176","Vodafone tarifemin süresi doldu ve ne zamandır Türk Telekom'a geçmek için tarifenin bitmesini bekliyordum. Tarifem bitti ve benim onayım olmadan 1 aylık daha pahalı bir paket tanımlanmış ve iptal edemiyorum. Neden her seferinde biz uğraşmak zorunda kalıyoruz. Milletin parasını almak için türlü yolla","...","#Faturalı Tarifeler"
"Vodafone Yanımda Çark Sorunu","Cemil","22 Temmuz 01:01","203","","","#Hediye Çarkı"
"Vodafone Hediye Çarkını Çevirmediğim Halde İndirim Gelmiş Telafisi Olsun","Aygül","22 Temmuz 01:00","224","Hediye çarkımı çevirmediğim halde indirim çıkmış telafisi olmasını istiyorum. Ve paket yüklemeye ne kadar Çark çevrilmiyor bunun da düzelmesini istiyo","...","#Hediye Çarkı"
"Vodafone Puanı Ve Çekim Gücü","Özkan","22 Temmuz 01:00","229","Vodafone cihaz kampanyalarından yararlanamıyor um. Faturalarımı düzenli ödüyorum gecikmem yok vs yok 1 cihaz dahil çıkmıyor. Tarifemi yenileme me rağmen düzeltmede olmadı. Hattımı başka operatöre taşıyacağım İnternet çekim gücünde yetersiz. Yalova Altınova da çekmiyor arkadaş.","","#Faturalı Tarifeler"
"Vodafone Tarife Değişikliği Problemi","Deniz","22 Temmuz 01:00","217","21.07.2024 tarihinde saat 23.30 civarı Vodafone müşteri temsilcisini aradım. Kendisine eski tarife kullanım hakkı sürem bittikten sonra geçebileceğim","...","#Tarife Değişikliği"
"Vodafone 3 Katı Pahalı Tarife Sunuyor","Sinem","22 Temmuz 00:54","155","Vodafone taahhüt bitiminde bilgi vermiyor, teklif sunmuyor 3 katı fiyatlı paketlere mecburu tutuyor. Öncesinde tanımladığı 280 TL olan paketi iptal edip 1000 liralık paketlere geçmeyi mecbur tutuyor bu durumdan şikayetçiyim Vodafone gereksiz fazla ücret almaya çalışıyor","","#Taahhüt"
"Vodafone Çocuk Oyunevi Servisi Şikayeti","Gülay","22 Temmuz 00:48","242","","","#SMS"
"Vodafone Onay Almadan Tarife İle İlgili İşlem Yapması","Beyza","22 Temmuz 00:47","188","Tarifem bitti, aranmadım, yeni tarife sunulmadı. Ödediğim tarife 4 katına çıktı, ben aradım, tarife değiştirelim diye. Bana internet GB'imi düşürüp fiyatı artırıyorlar. Ve başka tarife yok, geçebileceğiniz bu diyorlar. Ben GB düşsün istemiyorum ki. Bu yapılanları görünce yıllardır müşterisi olduğum","...","#Hat Ücreti"
"Vodafone Aşım Paket Sorunu","Zehra","22 Temmuz 00:41","286","Faturalıyım, internetim bitmeden aşım durdurma paketi aldım. Yine de 80 TL'ye 500 MB paket geldi. Sıkıntı etmedim, internetim normalde bana yettiği iç","...","#Aşım Ücreti"
"Vodafone Da Evrak Talep Sorunu","Buket","22 Temmuz 00:41","940","Vodafone numara taşıma yaptım ama dijital kurye evrakları eksik bırakmış ve hattım kısıtlandı. Bunun için en yakın Vodafone bayiine gitmem gerektiğini söylediler. Bayiliğe gittim fakat bana hat aktivasyonu yapamayacaklarını, müşteri hizmetlerini aramam gerektiğini söylediler. Müşteri hizmetlerini ar","...","#Numara Taşıma"
"Vodafone Altyapısının Kötü Olması","Nurettin","22 Temmuz 00:34","224","Vodafone operatörünün altyapısı kötü. Pazarı pazartesiye bağlayan gece hediye için çark çevirmeye giriyoruz, bir türlü ulaşamıyoruz. Ancak ertesi gün uygulama çalışıyor, o zaman da internet vermiyor. Böyle giderse operatör değiştireceğim. Bir an önce kendilerine çeki düzen vermeleri lazım.","","#Hediye Çarkı"
"Vodafone Yeni Tarife Önermiyor","Elif","22 Temmuz 00:27","161","","","#Fatura"
"Mağduriyet Vodafone Bayisini Mağduriyet Yaşattı","Muzaffer","22 Temmuz 00:14","61","Sıfır aldım, ürün bozuk çıktı. Kendilerinin hatası ve kutuyu kendileri açıyor. Benim iade talebimi kabul etmiyorlar. Burada mağdur durumda kaldım. Kullanmadım cihazın faturasını ödüyorum ve aldığım ürünün sahibi kişi arkamda bana 'Direk kapat telefonu, çok konuşuyorsun' diyerek telefonu suratıma kap","...",""
"Vodafone Üyeliğiniz İptal Edildi Denmesine Rağmen İptal Edilmedi","Emine","22 Temmuz 00:14","53","Üyeliğiniz iptal edildi denmesine rağmen iptal edilmedi. Daha önce çok kez arayıp üyeliği iptal etmek istediğimi söyledim ama iptal etmediler. Daha sonra, 'Bizim elimizde olan bir şey yok' dediler. Bu konu hakkında bir çözüm bulunmasını istiyorum. Daha önce de aynı şeyle karşılaştım ve tekrarlandı.","...",""
"Vodafone Yüksek Tarife Ücreti","Ece","22 Temmuz 00:14","133","Merhaba, yıllardır Vodafone abonesiyim. 172,65₺ olan indirimli tarifem normalde 204₺. Bana önerilen tarifeler ise şu anki paketimden farklı ve çok yüksek fiyatlı. Bu şartlarda nasıl Vodafone'da kalayım? Ya mevcut tarifeme devam edeceğim ya da bu kadar yılın hatırına Vodafone bu tavrını değiştirip gü","...","#Tarife Değişikliği"
"Vodafone Taahhüt İptalini Gerçekleştirmiyor!","Hüseyin","21 Temmuz 23:54","323","","","#Taahhüt"
"Vodafone Ayıplı Tarife Hakkında","Yunus","21 Temmuz 23:48","127","Merhaba, Vodafone'dan tarifeye ek paket olarak iki cihaz satın aldım. Satın alma sırasında bir işaret butonu bulunmamasına rağmen hattıma bu ay 5 GB 4","...",""
"Vodafone Tarife Değişikliği Ve Fiyat Artışı Mağduriyeti","Aysun","21 Temmuz 23:48","25","Dün gözüken uygulamadaki fiyat bugün yok. 25 GB almak istiyordum, zaten fiyatlar çok artıyor. 30 GB almak zorunda bırakıldım ve 390 TL ödeyeceğim, 160 TL idi. Faturam bugün, tarifemin son günü diye 25 GB olan tarife kaldırılmış. İptal etmek, hattımı değiştirmek istiyorum.","","#Faturalı Tarifeler"
"Vodafone Sözde Olan Ama Aradığında Olmayan Müşteri Hizmetleri","Melih","21 Temmuz 23:47","27","Vodafone 2 sene taahhütlü olan paketin 2. Senesinde müşteri hizmetlerinden verilen bilgi dışında farklı bir tarife tanımı yapılmış. 26 Haziran arama y","...","#Faturalı Tarifeler"
"Vodafone Müşteri Hizmetleri Bağlantısını Gerçekleştiremiyorum","Sibel","21 Temmuz 23:47","1.179","Vodafone'un müşteri hizmetleri temsilcisine bağlanamıyorum. Tobi diye bir şey çıkıyor. İletmek istediğimi sorun, basit bir yapay zeka botunun anlayabi","...","#Yurt Dışı Paketleri"
"Vodafone Yanlış Paket Tanımlaması Ve Yetersiz Müşteri Hizmetleri","Sebahattin","21 Temmuz 23:35","98","Müşteri hizmetleri ile görüşerek 330 TL'lik bir pakete geçtim, ama hiç ilgisi olmayan 500 TL'lik bir paket tanımlamışlar hattıma, ispat edemiyorum. He","...","#Fatura"
"Vodafone Garanti Li Üründe Yardımcı Olmuyor","Tuğba","21 Temmuz 23:35","45","Vodafone Online'dan 1 yıl önce aldığım kulaklıktan birisi algılamıyor. Vodafone bayisine faturamla gittiğim halde, bizden almadığınız için biz gönderemiyoruz servise dedi. Müşteri hizmetlerinden gönderi kodu almam gerekiyormuş. Ulaşamıyorum. Bu kodu alamıyorum. Bir Vodafone bayisi, her yerde Vodafon","...",""
"Vodafone Taahhüt Bittikten Sonra Çok Yüksek Fiyatlı Tarifeler","Mehmet","21 Temmuz 23:28","36","Merhaba. Ben yıllardır Vodafone abonesiyim adıma kayıtlı 2 hat var. Ben mevcut tarifeme ödediğim fiyat 83₺ ancak taahhüdüm bugün bitecek. Defalardır a","...","#Taahhüt"
"Vodafone Müşteri Hizmetlerine Ulaşamama Sorunu","Ünal","21 Temmuz 23:28","141","Vodafone çağrı merkezine 38 dakika boyunca ulaşamadım. Hattımın kısıtlamasını kaldırmak istedim fakat en sonunda sinirlenip telefonu kapattım. Vodafone'u 38 dakika boyunca hizmet vermeyen bir şirket, hiçbir zaman sağlıklı hizmet veremez.","","#Hat İptali"
"Vodafone Türkiye Pişmanlığı Ve Umursamazlığı","Büşra","21 Temmuz 23:14","160","Vodafone Türkiye tarife konusunda asla yardımcı olmuyor. Mevcut tarifem 200 TL, bana önerdikleri tarifeler 700-800 TL olduğu için faturasıza geçtim. 1 ay geçti fakat faturalıya tekrar geçişte tarife bile çıkmıyor. Müşteri hizmetleri de asla yardımcı olmuyor. Vodafone resmen pişmanlıktır.","","#Tarife Değişikliği"
"Vodafone Tarife Dışında Ekstra Ücret Talebi!","Zehra","21 Temmuz 23:14","32","Vodafone benden tarifem harici 300 lira fazla para istiyor. Aradığımda da Tobi diye bir şey çıkıyor. Açıklama bekliyorum. Ben her ay fazla para ödemek","...","#Fatura"
"","Hatice","21 Temmuz 23:14","-","","",""
"Vodafone Tarife Pahalı Olması","Koray","21 Temmuz 23:08","117","Şu anki tarifem 20 GB, 3000 dakika, 250 SMS, 110 TL. Tarifem ay sonu bitiyor ve yeni tarifeye geçeceğim fakat fiyatlar en ucuz 270 TL ve bu bana göre çok pahalı, bütçemin üstünde. Bu konu hakkında şikayetçiyim ve yardım istiyorum. Uygun paket hiçbir şekilde yok.","","#Tarife Değişikliği"
"Vodafone Müşteri Temsilcisinin Tarifeyi Yanlış Anlatması Fatura 10 Katına Cıktı","Özge","21 Temmuz 23:01","430","1 Haziran 2024 tarihinde müşteri temsilcisi ile görüşerek hac ve umre paketi tanımladım. Müşteri temsilcisi bana paket ile ilgili olarak ‘170 dakika arama 30 dakika aranma hakkı olduğunu’ söyledi. Bunun üzerine her şey dahil pasaport tarifesini de aktive edebileceğini fakat günlük 300 TL olarak yans","...","#Fatura"
"Vodafone Müşteri Temsilcileriyle Yaptığım Görüşmelerde Hiçbir Şekilde","Abdullah","21 Temmuz 23:01","174","Paketimin durma özelliği olduğu halde benden aşım ücreti alan Vodafone şikayetim var. Aradığım halde abonelik tarihinde yaptığım sözleşmeleri istedi","...","#Aşım Ücreti"
"","Nurullah","21 Temmuz 23:00","111","","",""
"Vodafone Hattın Taşınması İçin Yardımcı Olmuyor","Deniz","21 Temmuz 22:54","223","İptal edilen hattımı yeniden çıkartmak istiyorum ancak Vodafone mağazaları bunun hattın asıl operatöründen yapılması gerektiğini söylüyorlar. Turkcell'e gidiyorum bana Vodafone'da görünüyor hala hat diyorlar. 2 ay oldu bu hattı artık bırakın da asıl operatörüne dönsün.","","#Numara Taşıma"
"Vodafone Yanlış Numaraya Paket Paket Aldım","Ali","21 Temmuz 22:47","153","Merhaba yanlışlıkla başka bir numaraya paket yükledim. 3 aylık 45 GB 750 TL ödeme yaptım, Ve yaptığım bu işlem için iptal/iade istiyorum, yoksa yasal yollara başvuracağım. Yardımcı olmanızı ve en yakın zaman da bu hatayı düzeltmenizi istiyorum. Numaram 0545****380 bana geri dönmenizi bekliyorum. Yan","...","#Faturasız Tarifeler"
"Vodafone Baz Fiyatı Ne","Ali","21 Temmuz 22:47","124","Vodafone'luyum. 106 TL Fatura ödüyorum ama yüksek. 7 ayın 21'i 2024 yılında bitiyor tatilin yüksek yüksek paketler genellikle için paket almamak istedim ama bas fiyatı nedir Onu bilmiyorum. Başka operatöre de geçmek istemiyorum ama Vodafone'lular hep yüksek faturalar sunuyorlar.","","#Fatura"
"Vodafone'un Hediye GB Aldatmacası","Mehmet","21 Temmuz 22:47","156","Vodafone müşteri hizmetlerinden aranarak taahhüt süresinin sonuna yaklaştığı bilgisi verildi ve 270 TL karşılığında 13 GB artı 12 ay boyunca da 5 GB h","...","#Taahhüt"
"Vodafone Sözleşme Yenilerken Tarife Seçme Hakkı Vermiyor","Uygur","21 Temmuz 22:47","153","25 yıldır tüm aile Vodafone kullanıyoruz. Şu an annem ve babamın hatları dahil 3 fatura ödüyorum. Sözleşme yenileme zamanımız geldi ve Vodafone bize %","...","#Fatura"
"Vodafone Ürün Sonrası Tüketici Hakları Ödemesinin Alınamaması","Figen","21 Temmuz 22:34","172","Vodafone'dan almış olduğum bir hizmet için Üsküdar Şubesi ile yaşadığım olumsuz durumu Tüketici Hakları'na şikayet ettim. Şikayetim haklı bulundu ve ödeme alabileceğim ancak hala ödememi alamadım. Müşteri hizmetleri de bana yardımcı olamadı. Nasıl yapalım, icra mı başlatalım?","","#Kampanya"
"Vodafone 5 Ay Sonraki Telsiz Kullanım Ücretini İstiyor","İpek","21 Temmuz 22:34","334","Vodafone faturalı hattan faturasız hata geçiş yaptım. Müşteri hizmetleri 5 ay sonraki telsiz kullanım ücretinin de bu ay içerisinde toplu olarak 75 TL şeklinde alınacağını belirtti. Durumun kendileriyle ilgili olmadığını ve devletin bu şekilde periyodik uygulaması olduğunu söyledi. Bundan sonraki sü","...",""
"Vodafone'un Çifte Standart Uygulamasını Kınıyorum.","Naci","21 Temmuz 22:28","138","Geçen hafta Vodafone yanımdadan bir ay süreli 50 GB interneti 525 liraya satın aldım. Arkadaşım Vodafone'a mesaj çekerek bir hafta süreli 10 GB ı 39 liraya satın almış. 39×5=195 lira. Benden fazla alınan 330 liranın iadesini talep ediyorum. Böyle çifte standart olmaz. Yanımda uygulaması farklı, mesa","...","#Yanımda"
"Vodafone Faturalı A101 500 TL Hediye Çeki Vermedi","Huri","21 Temmuz 22:28","580","Bugün Vodafone faturasızdan Vodafone faturalıya geçtim a101de 500 TL hediye çeki için kod verilmedi. 3 ay boyunca 4 GB toplam 12 GB internet hediyesi","...",""
"Vodafone Yüksek Mevcut Tarife","Ogün","21 Temmuz 22:21","188","177 TL olan fatura bedelim 660 TL'ye çıktı. Müşteri temsilcisini aradığımda, diğer operatörlerde de öyle diye dalga geçiyor. 20 senedir Vodafone'luyum, telefon çekmez, internet çekmez ama insanlarla alay etmekte bir numarasınız. Direkt hat iptal edeceğim...!","","#Fatura"
"Vodafone Tarifem Bitti GB Düşürmeden Tarife Teklifi İstiyorum","Figen","21 Temmuz 22:15","183","Tarifem bitti, aranmadım, yeni tarife sunulmadı. Ödediğim tarife 4 katına çıktı, ben aradım, tarife değiştirelim diye. Bana internet GB'imi düşürüp fi","...","#Tarife Değişikliği"
"Vodafone Taahhüt Bitince Yeni Fahiş Fiyatlar Az İçerikli Paketler!","Ali","21 Temmuz 21:54","90","","","#Tarife Değişikliği"
"","Nisan","21 Temmuz 21:54","77","","",""
"Vodafone A Hat Taşıma Sonrası Yüksek Fatura","Bekir","21 Temmuz 21:48","330","","","#Faturalı Tarifeler"
"Vodafone Net İnternet Kullanımında Aniden Artış Ve Çözüm Bulunamaması","Alaattin","21 Temmuz 21:48","305","Eylül ayında 5 yıllık taahhüdüm dolacak ve malum şekilde son aylar yaklaşınca yeni tekliflerle geldiler. Ben de tüm haklarımı kullanıp öyle geçmek istiyorum fakat son 3-4 ayda internet kullanımım bir anda artmaya başladı. Nasıl olduysa. Oysaki yıllardır bitiremediğim paket ne hikmetse bitti. Ayrıca","...","#Mobil İnternet"
"Vodafone Paketimin Yenilenmemesi Ve Bakiyemin Eksiltilmesi","Gulsen","21 Temmuz 21:47","191","Yıllardır Vodafone kullanıcısıyım. 4GB ""One type boss"" kolay tarifeli paketim bir suredir yenilenmiyor. Yıllardır paket bitim tarihinde tl yüklerim ve paketim yenilenirdi. 11 temmuzda 250 TL yükledim mevcut bakiyeme tarifem yenilenmedi kolay çözüm paket asim gibi mesajlarla 59 TL birkaç sefer kesilm","...","#Faturasız Tarifeler"
"Vodafone Portutel Üyelik İptali","Elif","21 Temmuz 21:47","434","Klima için mobil kumanda indirmeye çalışırken portutel diye bir yerden üyelik mesajı geldi. Ücretli üyelik yapmışlar. İptal edemiyorum, yardımcı olursanız sevinirim. Tebrikler! Portutel aboneliği için ücretlendirmeniz başarıyla gerçekleştirildi. Aylık vergiler dahil 239.0 TL mobil ödeme ile faturanı","...","#Mobil Ödeme"
"Vodafone Paramı Geri Çekin","İnan","21 Temmuz 21:33","184","İnternetim varken aşım yapıldı. 1.5 MB var ama 80 TL karşılığında 500 MB internet geldi. Şikayetçiyim Vodafone'dan bu 80 TL geri çekilmesini istiyorum ve almasını da iyi bilirim veya siz 80 TL vermeseniz 100 fazla müşterilerimizden olursunuz. Bana o 80 TL geri çekin, interneti izinde alım ne yapıyor","...","#Aşım Ücreti"
"Vodafone Tarife Hatası Yaptı","Ahmet","21 Temmuz 21:32","128","Vodafone'da 2023 Ağustos ayında tarife yaptım. Ben 2 dönemli tarife yaptırmıştım ama şimdi tarifem bitiyor ve müşteri hizmetlerini aradığımda bir yıllık tarife yapılmış diyorlar. Ve yeni tarifeleri de eski tarifemin beş altı katı kadar. Bu adaletsizliği kabul etmeyeceğim. Vodafone'dan bu soruna bir","...","#Faturalı Tarifeler"
"Vodafone Yüksek Tarife Ücreti","Ömer","21 Temmuz 21:31","13","Merhaba, yıllardır Vodafone abonesiyim. 177₺ olan indirimli tarifem normalde 204₺. Bana önerilen tarifeler ise çok yüksek. Bu şartlarda nasıl Vodafone'da kalayım? Ya mevcut tarifeme devam edeceğim ya da bu kadar yılın hatırına Vodafone bu tavrını değiştirip güzel bir teklifte bulunur. Yoksa istemede","...","#Faturalı Tarifeler"
"Vodafone Yüksek Fatura Ücretleri","Feritcan","21 Temmuz 21:09","308","Merhaba, Vodafone kullanıcısıyız. Uzun yıllardır kullanmaktayız. Geçen hafta tarifemin fiyatının yüksek gelmesi nedeniyle iptal etmek istedim. İptal bölümüne bağlandığımda bana Red Ultra 30 GB paketi teklif edildi. Bu paketin devamlılığının olup olmadığını sordum ve olumlu yanıt aldım. Bunun üzerine","...","#Fatura"
"Vodafone Content Ve Mobil Ödemeden Dolayı Paramı Alıyor!","Ömer","21 Temmuz 20:59","37","","","#İçerik Servisleri"
"Vodafone Hediye Çarkı Sorunu","Büşra","21 Temmuz 20:59","660","Vodafone hediye çarkı yaklaş 3 haftadır hata veriyor premiumlu olmama rağmen hiçbir avantajdan faydalanamıyorum. Müşteri hizmetlerini aradım ama bir ç","...","#Hediye Çarkı"
"","Nurcan","21 Temmuz 20:53","118","","",""
"Vodafone Tarife Değişikliği Hatası","Melık","21 Temmuz 20:46","139","Şu an kullanmakta olduğum hattımın taahhüdü 21.07.2024 tarihinde bitiyor bende ayın 20 sinde Vodafone'u aradım sekretere tarifemi değiştirmek istiyorum dedim oda bana aynı tarifemi vergiler dahil 350 TL karşılığında yeniledi. Fakat işlem yapmamış ve benden bilgileri istediği halde onaylamamış. Bir g","...","#Faturalı Tarifeler"
"Vodafone FreeZone Kişiselleştirme Formu Yüklenmiyor","Nüket","21 Temmuz 20:38","249","15 yaşındaki kızım için aldığım Vodafone hattına  FreeZone kişisel bilgilerini yüklemeye çalışırken, sürekli ""arıza oluştu "" bilgisi alıyoruz. Müşteri hizmetlerini de aradık, bayii de uğradık Günlerdir yapamıyoruz. 20 GB ek ücretsiz sosyal medya yüklenmedi. Oysa ödüyorum. Acil yardim rica ediyorum","","#FreeZone"
"Vodafone Müşteri Mağduriyeti","Volkan","21 Temmuz 20:32","417","","","#Tarife Değişikliği"
"Vodafone Kafasına Göre Ücret Tahsis Ediyor","Serkan","21 Temmuz 20:24","115","1 Nisan 2024 tarihinde Vodafone firmasına normal faturamdan 160 TL daha fazla ücret tarafımdan tahsis edilmiştir ve hiçbir açıklama, bilgilendirme yapılmamıştır. Bu sene bana karşı yapılan ikinci hatadır, artık art niyetli olduklarını düşünmeye başladım. Umarım artık kendilerine çeki düzen verirler.","","#Fatura"
"Vodafone Mağduriyet Yaşıyorum","Ömer","21 Temmuz 20:24","80","Vodafone'dan iki adet yeni hat aldım. Kimse ne zaman açılacağını ne yapılacağını bilmiyor. Sürekli bir yerlere yönlendiriliyor, durumun aciliyeti notları ile dönüş yapılacağı belirtiliyor. 1 saatin üzerinde telefon görüşmesi, onlarca telefon araması, 8 veya 10 müşteri hizmetleri temsilcisi ile yaptı","...","#Hat Başvurusu"
"Vodafone Müşteri Hizmetleri Bağlanamama","Muhammedemin","21 Temmuz 20:09","161","Vodafone müşteri hizmetlerine bağlanmak için defalarca aradım. Bana sunulan tüm seçenekleri denedim ama Tobi diye saçma sapan bir sistem devreye giriyor ve ben bir türlü müşteri hizmetlerine bağlanamıyorum. Bu durum bana bayağı zaman kaybettirdi ve sinirlendirdi. Hayatımda ilk defa Vodafone'a geçtim","...","#Faturalı Tarifeler"
"Vodafone Fatura Trajedisini. Gör Ve Hizmetin Kalitesizliğini Yorumla","Şuayip","21 Temmuz 20:02","233","Karşılaştığım durum oldukça olumsuz. Yaklaşık iki buçuk senedir Vodafone kullanıyorum. Faturamın ödemesini aksattığım maksimum 2 keredir. Bir ay kadar önce taahhüdüm bittiği için yeni bir tarifeye geçmek istedim. Tutar yüksek olduğundan dolayı. 01.06.2024 tarihinde saat 00:01'de gelen mesaja göre ta","...","#Fatura"
"Vodafone Müşteri Hizmetlerine Ulaşamıyorsunuz.","Emir","21 Temmuz 19:55","38","Şirket, hatları düzgün çekmiyor, müşteri hizmetlerine ulaşım çok zor, piyasaya göre pahalı. Satın alırken hep yanınızda ancak sonrasında hiçbir şekilde müşteri hizmetlerine ulaşamıyorsunuz. Hattımın taahhüdü bittiği için müşteri hizmetlerinden hattımı faturasıza geçirmek için talep oluşturdum, sizi","...","#Fatura"
"Vodafone Sınırsız İnternet Problemi!","Selma","21 Temmuz 19:55","178","Vodafone sınırsız Red'li 30 GB tarife kullanıyorum Youtube.com Instagram gibi uygulamalarda internet paketimden yiyor. Yani bu tarifenin özelliği ne anlamadım sınırsız denmesinin sebebi ne sırf bu yüzden seçtim bu tarifeyi ama en kısa zamanda değiştireceğim.","","#Red"
"Vodafone Umursamazlığı Ve Adaletsizliği","Onur","21 Temmuz 19:48","331","Geçen ay Vodafone mobil ödeme ile harcama yaptığım için benden fatura tutarımdan fazlasını otomatik ödeme ile çekti. Fakat bu mobil ödemelerim iptal edilmişti. Bağlandığımda sorunu düzelteceklerini söylediler. Bugün tekrar bağlandım, daha önce tek faturayı 2 banka hesabından çektikleri konuyu açarak","...","#Mobil Ödeme"
"Vodafone Her Şey Yanımda Limiti 0","Emrah","21 Temmuz 19:48","302","Her Şey Yanımda uygulamasından 1 senedir alışveriş yapıyorum fakat 2 aydır onaylamıyor. Mobil ödeme limiti 1000 TL, Her Şey Yanımda alışveriş limiti 0 gösteriyor ve kimse ilgilenmiyor, çözüm bulmuyor. Vodafone müşteri hizmetleri lütfen bu sorunu çözün, geçiştirmeyin konuyu. Operatör değişikliği için","...","#Yanımda"
"Vodafone İnternetim Çekmiyor Ve İlgilenmiyorlar","Mustafa","21 Temmuz 19:42","274","Vodafone kullanıcısıyım ve sürekli olarak internette bir sorun yaşıyorum ama İzmir Karaburun'a geldiğimden beri internetim çok yavaş. Yaklaşık bir haf","...","#Mobil İnternet"
"Vodafone Tarife Değişikliği İptali","Erhan","21 Temmuz 19:28","179","Vodafone benim onayımı almadan tarife sürem bittikten sonra kendilerine göre bir tarifeye geçişimi yapmışlar. Müşteri hizmetleri ile de görüştüm, kayıt açıldı size geri dönüş sağlanacak denildi fakat 1 aydır herhangi bir geri dönüş yapılmadı. Bu mağduriyeti çözecek misiniz?","","#Tarife Değişikliği"
"Vodafone'nin Hesabımdan İzinsiz ""ç""aldığı Paralar","İbrahim","21 Temmuz 19:28","193","","","#Faturasız Tarifeler"
"Vodafone Taahhüt Ve Tarifeler","Halil","21 Temmuz 19:28","390","Vodafone taahhüdümün bitmesiyle bana sunulan tarife arasındaki fark %100/400 zam oluyor ve gelirim bunu karşılamıyor. Yıllardır Vodafone kullanıcısıyı","...","#Taahhüt"
"Vodafone Uygulamamda 252.89 Gözüküyor Yalnız 460 TL'de Tarife Ücreti Gözüküyor","Beyza","21 Temmuz 19:20","194","Vodafone müşterisiyim ve hattımı kapattıracaktım. Kısıtlanmaya alınmıştı ve beni müşteri hizmetlerinden aradılar. Daha uygun tarifelerimiz var dendi. Teklif sundular, tamam dedim. 3 aylık Red'li özel 30GB Ultra paketi 252 TL ve 9 ay sonra 302 TL dendi. Durma özelliği almayacağız dendi, ben de onayla","...","#Red"
"Vodafone Faturalıdan Faturasıza Geçiş Altında Para Koparması","Kubilay","21 Temmuz 18:53","222","Vodafone faturalıdan faturasıza geçmeye çalıştım. Süründürmeleri ayrı dert bir de normal fatura tutarım 115₺ bunun üstüne faturalıdan faturasıza geçiş diye bir vergi çıkarmışlar ekstra 75₺ istiyorlar. Abi siz insanları bir şeyler (! ) yapmaya mı çalışıyorsunuz ya!","","#Fatura"
